CVE ESTADO,CVE MUNICIPIO,emisiones NOx,,,,,,,,,,,,,,,,,,
,,Asados_al_carbon,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Incendios_en_construcciones,Incendios_Forestales,Ladrilleras,Quema_de_Residuos,Quemas_Agricolas,Rellenos_Sanitarios, cruces fronterizos ,Embarcaciones_marinas,Equipo_basico_eropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
04,008,04008,0.02619127,0,0.297504561,8.616384785,0.809971949,3.33374E-05,0,0,0.070791539,47.60061515,0,0,0,0,0,43.98578203,22.79360919,0
04,009,04009,0.10936811,0,1.721029289,44.63918268,1.259619657,0.000130878,0,0,0.753181687,86.98625909,0,0,0,0,0,118.5232649,29.60694317,0
04,010,04010,0.01336666,0,0.620089447,32.5763871,0.184129111,2.29375E-05,0,0,0.598187806,37.22728133,0,0,0,0,0,95.33864086,29.46671089,0
04,011,04011,0.03294492,0,0.743761401,43.41604963,0.164192473,6.44497E-05,0,0,0.877089853,24.93298978,0,0,0,0,0,0,62.20981152,0
05,001,05001,0.00223852,0,0.013875517,0.296230911,0.017320747,5.14428E-05,1.880626334,0,0.000832444,5.942364794,0,0,0,0,0,34.61642323,3.24320914,0
05,002,05002,0.45978439,0,3.154078492,25.93913352,7.893184317,0.008077044,80.57010343,0,0.036148596,4.682672166,0,4.129269488,0,0,0,30.35594037,1.543494921,0
05,003,05003,0.06479402,0,0.38764726,4.221052821,0.499307575,0.001127437,0,0.367678634,0.001840029,1.535670186,0,0,0,0,0,0,2.035676185,0
05,004,05004,0.02724314,1.197699859,0.241969634,12.54382445,3.074133962,0.000865714,33.02480458,0,0.132694502,10.19436029,0,0,0,0,0,0,557.1801951,0
05,005,05005,0.00459424,0,0.042493771,0.533395393,0.032391383,6.98177E-05,4.281772492,0,0.003691212,1.883214754,0,0,0,0,0,0,7.818202878,0
05,006,05006,0.07951434,0,0.482979071,6.33883745,1.035344388,0.001511037,5.90020566,0,0.023040272,2.0065835,0,0,0,0,0,147.519219,22.64154449,0
05,007,05007,0.03322034,0,0.450087087,4.484614188,0.463608758,0.000484915,3.129431453,0.183839317,0.037045198,18.36483459,0,0,0,0,0,287.3163128,8.546474326,0
05,008,05008,0.00176093,0,0.003468879,0.897019327,0.008660373,0.000116822,0,0,0.005693949,2.078960028,0,0,0,0,0,64.70608342,0.892078542,0
05,009,05009,0.10275217,4.409465598,1.659220346,13.16594923,1.217823168,0.001253279,0,0,0.089922061,106.5847028,0,0,0,0,0,0,24.60994383,0
05,010,05010,0.23771676,0,1.733155512,14.98872575,4.560652228,0.004307462,0,0,0.006507091,1.830700734,0,0,0,0,0,30.62222055,3.50166462,0
05,011,05011,0.01447713,0.151309578,0.137020732,7.30192171,0.318475394,0.000183022,0,0,0.178754699,5.10499536,0,0,0,0,0,194.9170908,11.44683338,0
05,012,05012,0.00261942,0,0.017344396,0.441036308,0.008660373,8.60796E-05,0,0,0.006241212,3.293842772,0,0,0,0,0,0,3.809579492,0
