CVE ESTADO,CVE MUNICIPIO,Emisiones de PM10,,,,,,,,,,,,,,,,,,,,,,,,
,, Actividades_de_la_construccion , Asados_al_carbon , Banco_de_Materiales , Caminos_pavimentados_y_sin_pavimentar , Combustion_Agricola , Combustion_Comercial , Combustion_Domestica , Combustion_industrial , Corrales_de_engorda , Emisiones_domesticas_de_amoniaco , Incendios_en_construcciones , Incendios_Forestales , Labranza , Ladrilleras , Quema_de_Residuos , Quemas_Agricolas , Rellenos_Sanitarios ,Cruces_front,Embarca_marinas,Equi_basico_aeropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
03,009,03009,112.6447731,1.4494935,0,130.1068472,0,0.085085486,5.878098888,0.007361644,1.6341768,0,0.003355363,0,3.080942042,0,0.31866033,0.130033642,0,0,0,0.167,0,0,35.19324127,0
04,001,04001,25.85146785,3.8518311,0,16.12212022,0,0.107586227,220.0902637,0.272478771,3.1306188,0,0.000479835,382.5389594,40.88764983,0,1.773384843,134.6811423,0,0,0,0,0,1.656029385,12.28691085,0
04,002,04002,137.6159201,22.13439735,0,69.92022179,0,1.035101056,231.0942721,0.670779948,14.493222,0,0.002787902,68.35457931,329.794868,0,2.706850469,720.8783965,0,0,0.05555162,0.814,0,3.801340179,58.13846455,0.014998045
04,003,04003,0,18.6899115,0,134.4624507,0,0.909040476,220.8637609,0.246737013,15.3455208,0,0.002215584,0,172.2256204,0,5.802470703,204.9410543,0,0,0.586914504,0,0,0,1.742418779,0
04,004,04004,5.596829771,5.1393459,0,159.1074621,0,0.183600197,294.0313217,0.134433931,10.2431196,0,0.000707662,0,371.8774845,0,3.508575279,1147.947205,0,0,0,0,0,5.016478624,4.623162269,0
04,005,04005,0.234161374,1.8009537,0,8.841934393,0,0.064106718,108.3596656,0.091889342,2.1426564,0,0.000248405,0,107.0685828,0,8.498579838,353.2364615,0,0,0,0,0,1.613015635,1.243888594,0
04,006,04006,0.3540951,1.30534365,0,73.9893475,0,0.057130752,163.2226678,0.014389663,6.8629212,0,0.000293969,0,637.0818323,0,6.673295101,1441.421107,0,0,0,0,0,0,6.001381644,0
04,007,04007,0.062315633,0.284622,0,7.33849349,0,0.023874641,35.64193782,0.002769633,9.6745752,0,5.80964E-05,0,114.7781585,0,1.398877571,154.9937388,0,0,0,0,0,0,0.937979557,0
04,008,04008,0.272619738,0.71467305,0,4.128304047,0,0.020687346,39.86566309,0.046973729,1.1671212,0,8.81775E-05,0,50.67120342,0,0.448346415,162.4086681,0,0,0,0,0,1.091473913,1.703771004,0
04,009,04009,0.06917505,2.98429365,0,48.03985095,0,0.119673892,205.0972535,0.073050718,17.8206048,0,0.000346172,0,165.2097434,0,4.770150682,169.3645149,0,0,0,0,0,2.941065174,1.813954129,0
04,010,04010,0.459767207,0.3647319,0,157.3031512,0,0.043118684,154.6363088,0.010678433,5.5549584,0,6.06696E-05,0,122.1872647,0,3.78852277,126.7246687,0,0,0,0,0,2.365756264,1.951904113,0
04,011,04011,2.907779149,0.8989578,0,152.7030662,0,0.051718365,203.5366612,0.009522222,16.9082412,0,0.000170469,0,101.2017974,0,5.554902401,84.73417506,0,0,0,0,0,0,4.601404667,0
05,001,05001,0,0.0610818,0,0.948762013,0,0.000964851,0.452438658,0.000866037,0.5043372,0,0.000136066,6.378881215,22.31218937,0,0.005272143,23.2079524,0,0,0,0,0,0.858980361,0.19825752,0
05,002,05002,0,12.54599385,0,34.45448517,0,0.219322733,7.818933105,0.394659216,10.1209188,0,0.021363781,273.2843676,4.3575336,0,0.228941108,18.85558966,0,0.149245129,0,0,0,0.753259701,0.094353913,0
05,003,05003,0,1.7680143,0,3.918456221,0,0.02695553,1.950405222,0.024965379,0.8719752,0,0.002982071,0,40.18871512,5.819799604,0.011653516,6.579902134,0,0,0,0,0,0,0.124440976,0
05,004,05004,11.77905296,0.7433751,0,54.40578764,0.083283535,0.016977104,41.72220209,0.153706698,1.900326,0,0.002289815,115.8472365,59.74831531,0,0.840398512,45.81977825,0,0,0,0,0,0,46.33178237,0
05,005,05005,0,0.1253616,0,2.412942105,0,0.002954857,1.117579002,0.001619569,0.9278976,0,0.000184668,14.5233094,17.38474663,0,0.023377673,7.770824844,0,0,0,0,0,0,0.477927091,0
05,006,05006,0,2.1696831,0,29.14361456,0,0.033886839,6.206467988,0.051767219,3.583176,0,0.003996693,20.01285974,52.42198842,0,0.14592172,8.073575032,0,0,0,0,0,3.660577844,1.384078626,0
05,007,05007,0,0.9064731,0,36.51311856,0,0.03129736,10.75780254,0.023180438,2.3373492,0,0.0012826,10.61469317,44.98720643,2.909899802,0.234619588,70.31020886,0,0,0,0,0,7.129536992,0.522446357,0
05,008,05008,0,0.04804995,0,0.58958639,0,0.000241213,1.86351709,0.000433019,0.5675088,0,0.000308995,0,5.233867059,0,0.036061679,8.409120253,0,0,0,0,0,1.60563252,0.054532801,0
