CVE ESTADO,CVE MUNICIPIO,Emisiones de   PM2.5,,,,,,,,,,,,,,,,,,,,,,,,
,,Actividades_de_la_construccion,Asados_al_carbon, Banco_de_Materiales ,Caminos_pavimentados_y_sin_pavimentar,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Corrales_de_engorda,Emisiones_domesticas_de_amoniaco,Incendios_en_construcciones,Incendios_Forestales,Labranza,Ladrilleras,Quema_de_Residuos,Quemas_Agricolas,Rellenos_Sanitarios,Cruces_front,Embarca_marinas,Equi_basico_aeropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
03,009,03009,11.26447731,1.156840762,,13.47817053,0,0.085085486,5.667132939,0.007361644,0.186622991,0,0.003133364,0,0.683044851,0,0.291825776,0.124309814,0,0,0,0.166,0,0,34.13744404,0
04,001,04001,2.585146785,3.074146401,,1.914437111,0,0.107586227,211.88948,0.166998761,0.357516667,0,0.000448088,324.5410043,9.064791966,0,1.624047172,129.685547,0,0,0,0,0,1.487619617,11.91830353,0
04,002,04002,13.76159201,17.66546253,,8.302745889,0,1.035101056,222.910482,0.411112468,1.655125952,0,0.002603447,58.00532676,73.11552224,0,2.478905166,690.9620439,0,0,0.05555162,0.809,0,3.414763212,56.39431062,0.013800796
04,003,04003,0,14.91641837,,15.96687669,0,0.909040476,212.6681542,0.151221965,1.752458475,0,0.002068995,0,38.18242005,0,5.313841591,194.8205403,0,0,0.586914504,0,0,0,1.690146216,0
04,004,04004,0.559682977,4.101711963,,18.89337295,0,0.183600197,283.0785636,0.08239284,1.169764258,0,0.000660842,0,82.44523831,0,3.213116308,1073.320849,0,0,0,0,0,4.506328255,4.484467401,0
04,005,04005,0.023416137,1.437341148,,1.049944244,0,0.064106718,104.3224738,0.056317805,0.244691361,0,0.00023197,0,23.73710481,0,7.782909957,340.0862243,0,0,0,0,0,1.448980146,1.206571936,0
04,006,04006,0.03540951,1.041794767,,8.785938247,0,0.057130752,157.140083,0.008819241,0.783745601,0,0.00027452,0,141.2410422,0,6.111333409,1384.592797,0,0,0,0,0,0,5.821340195,0
04,007,04007,0.006231563,0.227156818,,0.871416667,0,0.023874641,34.31398059,0.001697473,1.104836488,0,5.42526E-05,0,25.44631775,0,1.281077355,146.0524042,0,0,0,0,0,0,0.90984017,0
04,008,04008,0.027261974,0.570380561,,0.490219547,0,0.020687346,38.38033809,0.028789599,0.133285241,0,8.23434E-05,0,11.2338058,0,0.410590928,156.3878945,0,0,0,0,0,0.980476566,1.652657874,0
04,009,04009,0.006917505,2.381764762,,5.704539613,0,0.119673892,197.4565044,0.044771853,2.035113068,0,0.000323268,0,36.6270001,0,4.368453783,160.7621784,0,0,0,0,0,2.6419738,1.759535505,0
04,010,04010,0.045976721,0.291092529,,18.67911827,0,0.043118684,148.8726047,0.006544675,0.634376249,0,5.66555E-05,0,27.08891658,0,3.469489273,122.0169784,0,0,0,0,0,2.125170881,1.893346989,0
04,011,04011,0.290777915,0.71745822,,18.13287662,0,0.051718365,195.9517269,0.005836048,1.930921145,0,0.000159191,0,22.43643847,0,5.087121146,81.51155594,0,0,0,0,0,0,4.463362527,0
05,001,05001,0,0.048749385,,0.159170437,0,0.000964851,0.436103554,0.000207849,0.057595308,0,0.000127064,5.413154179,4.946612383,0,0.004828174,22.12500056,0,0,0,0,0,0.771626426,0.192309794,0
05,002,05002,0,10.01295769,,5.780306739,0,0.219322733,7.591396679,0.094718212,1.155808927,0,0.019950298,231.9106077,0.966065199,0,0.209661857,17.99191045,0,0.137361428,0,0,0,0.676657019,0.091523296,0
05,003,05003,0,1.411052213,,0.657385498,0,0.02695553,1.887730473,0.005991691,0.099579568,0,0.00278477,0,8.909838143,5.315053469,0.010672167,6.2687258,0,0,0,0,0,0,0.120707747,0
05,004,05004,1.177905296,0.593287667,,9.127465971,0.083283535,0.016977104,40.17707055,0.036889608,0.217017229,0,0.002138315,98.14490318,13.2462015,0,0.769628111,43.63327084,0,0,0,0,0,0,44.9418289,0
05,005,05005,0,0.100051093,,0.404810736,0,0.002954857,1.076707613,0.000388697,0.105965906,0,0.00017245,12.32456136,3.854198328,0,0.021409027,7.409667437,0,0,0,0,0,0,0.463589278,0
05,006,05006,0,1.731624082,,4.889320819,0,0.033886839,5.988480046,0.012424133,0.409198699,0,0.003732262,16.9830244,11.62195483,0,0.133633575,7.704183882,0,0,0,0,0,3.28831569,1.342556267,0
05,007,05007,0,0.723456181,,6.12567636,0,0.03129736,10.36266572,0.005563305,0.266925279,0,0.00119774,9.007687832,9.973663666,2.657526734,0.214862149,67.33112948,0,0,0,0,0,6.404499332,0.506772967,0
05,008,05008,0,0.038348665,,0.098912817,0,0.000241213,1.795385731,0.000103924,0.064809505,0,0.000288551,0,1.160348327,0,0.033024906,8.018699835,0,0,0,0,0,1.442347857,0.052896817,0
05,009,05009,0,2.237686084,,3.425565631,0.306617622,0.116414429,15.54558635,0.014613878,2.14249816,0,0.003095599,0,15.51072107,0,0.521547953,376.8772577,0,0,0,0,0,0,1.459274757,0
05,010,05010,0,5.176878364,,0.102486155,0,0.121601877,3.961304572,0.054727827,0.012890942,0,0.010639431,0,3.521748569,0,0.037741125,6.909327073,0,0,0,0,0,0.682592607,0.207635207,0
05,011,05011,0,0.315275797,,9.992730069,0.010521498,0.009527905,25.24700927,0.003821705,0.258055365,0,0.000452063,0,25.43951206,0,1.036777257,18.83593769,0,0,0,0,0,4.344850335,0.678753072,0
05,012,05012,0,0.057044437,,1.687501271,0,0.001206064,0.654800743,0.000103924,1.114770792,0,0.000212617,0,1.550014583,0,0.036199031,13.43085469,0,0,0,0,0,0,0.225893372,0
05,013,05013,0,0.105219549,,0.222174539,0,0.001929702,0.581256431,0,0.548633747,0,0.000193886,0,0.081683376,0,0.035997868,1.634617679,0,0,0,0,0,0,0.276918235,0
05,014,05014,0,0.29843046,,2.539031018,0,0.007236384,2.724146613,0.00201885,0.589671883,0,0.001275193,0,3.414805304,0,0.306561804,38.32917427,0,0,0,0,0,2.878760126,0.252145071,0
05,015,05015,0,0.059851993,,0.020730278,0,0.001447277,0.441530237,0.000103924,0.140026376,0,0.000198442,0,0.051803096,0,0.007992863,4.7979454,0,0,0,0,0,0,0.074391737,0
05,016,05016,0.000253677,0.121682037,,0.018260708,0,0.002472431,0.515152959,0.00091299,0.035479656,0,0.000191355,0,1.406104302,0,0.003898459,2.888761972,0,0,0,0,0,0,0.123297761,0
05,017,05017,0,4.856625535,,3.434503828,0.504082254,0.158655081,16.0680196,0.02844971,2.638622017,0,0.006731843,0,18.36872592,5.315053469,0.805966484,428.6276227,0,0,0,0,0,0,1.641768418,0
05,018,05018,0,15.56764379,,0.674979779,0,0.628220225,9.496423128,0.113545895,0.093784557,0,0.032817245,0,1.934990387,0,0.10261736,3.330031744,0,0,0,0,0,0.368006449,0.568381485,0
05,019,05019,0,0.487621462,,0.29741197,0,0.011095789,1.158274368,0.003944786,0.148423228,0,0.00093855,0,8.199034965,0,0.017099365,12.52276235,0,0,0,0,0,0,0.17718109,0
05,020,05020,0,4.434215946,,7.844343246,0,0.096485118,6.543362647,0.017345953,1.081656446,0,0.008876503,181.3673554,1.110758934,2.657526734,0.284268456,12.12226274,0,0,0,0,0,2.967793944,0.587372837,0
05,021,05021,0,0.30615124,,0.150311819,0,0.004221224,2.930163468,0.000831396,0.057950105,0,0.000827686,24.31523576,3.984918251,0,0.008742815,19.69241979,0,0,0,0,0,0.712270547,0.210389132,0
05,022,05022,1.17230228,1.999490465,,0.640538468,0,0.027352001,3.449863937,0.013471608,0.353495639,0,0.003934418,0,17.0015761,10.63010694,0.058488133,19.09218977,0,0,0,0,0,2.682885726,92.60824632,0
05,023,05023,0,0.428152317,,66.69416317,0,0.013266704,13.67288141,0.002666108,1.561932723,0,0.000672114,669.7276641,1.392829983,0,0.097996235,5.108514508,0,0,0,0,0,3.775033897,0.131258498,0
05,024,05024,0,2.286307852,,42.47012439,0,0.077429307,64.30749725,0.013249842,0.346991036,0,0.002671374,0.673179653,43.52005763,2.657526734,1.357487211,37.9865442,0,0,0,0,0,12.72590043,0.953644848,0
05,025,05025,0,10.86683762,,0.313413381,0,0.416612747,12.71226155,0.098503095,0.207674253,0,0.022007833,0,1.995731025,13.28763367,0.073248976,17.82203228,0,0,0,0,0,0.658850256,0.169598855,0
05,026,05026,0,0.052641678,,2.209545703,0,0.000723638,0.850082216,0,0.202707101,0,0.000372079,0,0.025223935,0,0.071022187,3.025114004,0,0,0,0,0,0.937822886,0.088054066,0
05,027,05027,0,5.526610532,,24.32782862,0.008756637,0.158385603,40.08413127,0.191526916,0.362956881,0,0.011882731,0,16.41111974,2.657526734,0.500062411,56.93213698,0,0,0,0,0,10.88586819,0.627787579,0
05,028,05028,0,4.173878918,,3.287054303,0,0.125068834,5.00405222,0.028010461,0.373127716,0,0.00905025,0,0.142586445,5.315053469,0.195482631,9.008342093,0,0,0,0,0,2.724434841,0.312928128,0
05,029,05029,0,0.16111544,,0.007971591,0,0.002532734,0.485623834,0.001572663,0.028028928,0,0.000265771,0,1.285097125,0,0.001041948,4.669907775,0,0,0,0,0,0,0.048926873,0
05,030,05030,0,52.6702644,,33.32613489,0.050656877,1.644016959,113.217122,0.367035145,0.278397034,0,0.102078694,20.33530753,34.15483029,297.6429942,1.665747308,26.45569462,0,0,0,0,0,13.17106953,1.427069572,0.069165214
05,031,05031,0,1.478688794,,0.389603184,0,0.032808928,3.635757615,0.00627438,0.477674435,0,0.003229746,48.85041319,7.22885086,0,0.04537646,23.02911735,0,0,0,0,0,0,0.372967267,0
05,032,05032,0,2.805450513,,0.494221826,0,0.091118133,3.254534785,0.012547289,0.168883163,0,0.006226038,0,1.074136958,10.63010694,0.219701269,13.23138728,0,0,0,0,0,0,0.156365709,0
05,033,05033,0,4.216885574,,13.5774946,0.106897638,0.141290394,52.43044136,0.034651179,0.492102829,0,0.004294459,1.069583925,76.51093844,2.657526734,7.827780097,265.9620434,0,0,0,0,0,2.760048368,2.014648418,0
05,034,05034,0,0.324336547,,7.326038429,0,0.009226389,5.390281319,0.000415698,0.488081801,0,0.000385052,0,8.007388486,0,0.15564843,31.99977702,0,0,0,0,0,6.582566969,0.291415325,0
05,035,05035,0,44.7089922,,1.419087493,0,1.920972814,56.45223127,0.356453333,2.324035734,0,0.091371755,0,6.738688961,0,0.456347217,57.25471925,0,0,0,0.761,0,1.193053166,0.285857404,0
05,036,05036,0,0.250063924,,8.250471258,0.172769972,0.006150926,31.98142768,0.000207849,0.418068613,0,0.000489705,0,5.46682051,0,1.824540229,65.9876068,0,0,0,0,0,2.653207786,0.428775376,0
05,037,05037,0,0.366641314,,0.456517707,0,0.007296687,1.519229592,0.00295417,0.497661308,0,0.000716315,0,6.757912575,0,0.045389672,18.16718475,0,0,0,0,0,1.382991978,0.275356724,0
05,038,05038,0.0349009,0.735133062,,0.399709203,0,0.022191577,1.570909006,0.005707116,1.003364672,0,0.001437416,187.1887797,17.85693977,2.657526734,0.078915998,31.81121086,0,0,0,0,0,1.952808415,6.612862677,0
06,001,06001,0.163767963,1.74476855,,2.32838686,0,0.12587843,52.980178,0.037698101,0.166517852,0,0.004660771,0.480970517,10.16069796,49.48498057,0.468663218,13.44751834,0,0,0,0,0,1.593983081,1.362464858,0
06,002,06002,4.62498621,9.812089809,,5.632361909,0.004199607,1.290303471,54.29529073,0.195706301,1.859488771,0,0.028209401,3.603127089,10.13329875,0,0.20724539,185.5140922,0,0,0,0.339,0,1.027401417,12.73854937,0.023383491
06,003,06003,0.256454657,0.989854978,,1.884761223,0.108448022,0.128951054,41.78848367,0.014889957,0.274376006,0,0.00332854,0.715155906,6.597501217,0,0.050307111,78.44798688,0,0,0,0,0,0,1.024700367,0
06,004,06004,0.02111172,1.127361422,,0.963881414,0.032392879,0.075328825,26.88664381,0.008790919,0.319198638,0,0.003486097,52.04000904,8.547416712,0,0.126137968,168.874011,0,0,0,0,0,1.646864036,0.86428649,0
06,005,06005,0.302071364,1.506891972,,1.19797321,0.04670842,0.103973601,12.88395628,0.060649845,0.944468443,0,0.004979594,1.574385633,15.94781459,0,0.008281015,314.6957544,0,0,0,0,0,1.956595346,2.265403236,0
06,006,06006,0.004302694,0.193529952,,5.250849186,0,0.028277695,17.24036368,0.002672133,0.070604515,0,0.000983616,0.202826852,1.074863891,4.123748381,0.132196606,2.38151238,0,0,0,0,0,0,0.426216199,0
06,007,06007,7.820928307,10.86403006,,12.72255356,0,0.674323546,82.9514268,0.134200037,0.547451092,0,0.032809161,18.50462767,6.602094219,4.123748381,0.891763937,88.22650316,0,0,0.1553472,0.227,0,1.97170419,12.10996912,0
