CVE ESTADO,CVE MUNICIPIO,Emisiones de   COV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aguas_Residuales,Aplicacion_de_plaguicidas,Artes_graficas,Asados_al_carbon,Asfaltado,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Esterilizaccion_de_material_hospitalario,Incendios_en_construcciones,Incendios_Forestales,Ladrilleras,Lavado_en_Seco,Limpieza_de_superficies_industriales,Manejo_y_distribucion_de_Combustibles,Manejo_y_Distribucion_de_gas_L.P.,Panificacion,Pintado_Automotriz,Pintura_para_se–alizacion_vial,Quema_de_Residuos,Quemas_Agricolas,Recubrimiento_de_superficies_arquitectonicas,Recubrimiento_de_superficies_en_la_Industria,Rellenos_Sanitarios,Uso_domestico_de_solventes,Cruces_front,Embarcaciones_marinas,Equipo_basico_eropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
02,002,02002,1113.891107,34.80775725,388.9023837,9.66446026,106.0929138,0,2.022935892,156.9639877,1.336041765,0.88038,0.892669061,0.308711458,1.265828788,5.866571665,2268.013061,838.6683135,5669.18124,34.26557117,338.8703145,30.93612906,0.571807283,910.110003,1088.849324,407.3692921,52.3795806,2550.213715,0.374051402,1.587029473,9.767,3.812744878,7.705581213,219.4332467,0.363062531
02,003,02003,83.49228275,0.081857055,55.69769154,0.87730448,4.145758,0,0.188928976,38.74986603,0.345951433,0.12628,0.074759994,7.632513012,3.006343372,0.447285574,381.0205368,85.91641444,704.535799,3.946491744,24.51071161,1.20888097,0.304774076,0,98.82719134,124.7193128,17.25613339,231.474558,0,0,0,0,2.58151583,0.083466236,0
02,004,02004,1347.372197,0.032386049,868.8967154,17.3698564,1.312453261,0,3.272156813,255.3800801,2.997987008,0.83998,1.310166205,10.18778093,0.395571496,12.15449931,6214.459714,544.4718423,9766.858577,49.27894453,487.8798788,0.382704386,1.132078673,0,1957.106755,1523.194195,280.275882,4583.499233,10.93456682,0,42.572,1.906372439,4.520088094,0.031705014,0
02,005,02005,66.94247715,0.045862219,10.05993548,0.89627317,1.386474486,0,0.350675689,14.37266654,0.204770046,0.04428,0.062478451,0,0.791142993,0.732511158,226.1463887,67.72411971,567.010313,3.466230844,34.43171393,0.404288582,0.055636853,0.035740922,100.9667946,79.9720209,0,236.5243171,0,6.273198622,0,1.906372439,0,0.039403356,0
03,001,03001,88.63361612,3.564630396,9.814571196,0.64296362,13.43285948,0.004847564,0.177222127,88.37348461,0.098716469,0.0861,0.012442906,0,1.314514511,0.440803175,70.16533772,89.48397465,408.3291051,4.405871735,28.79035967,8.495198544,0.388268931,9.031658567,73.2402659,4.321509217,0,169.351852,0,5.396064624,0,0,0,4.827898526,0
03,002,03002,45.61842061,0.33145384,8.833114077,0.4383236,28.06799447,0,0.134329618,38.45218444,0.0838826,0.11316,0.007973698,0.56671421,0,0.466732773,62.20178712,59.7669266,350.200458,3.925610835,12.44988526,17.75073923,0.26614096,0.110404052,49.94548579,3.527870293,5.90482494,115.4118896,0,8.5556898,0,0,0,2.6697637,0
03,003,03003,444.8415825,0.642149021,102.562269,2.67627984,25.33988528,0.008697099,0.943296954,148.1212068,0.134647314,0.4674,0.050594712,0.140462349,0.730285839,3.4940134,126.1869176,426.8423992,1587.665689,16.91353605,99.40455266,16.02543054,0.40897736,0.81482626,304.7228602,29.77307317,102.572624,704.750787,0,5.426789215,18.136,0,0,0.414145031,0.224371299
03,008,03008,391.828763,0.35880755,48.58212742,2.90229173,8.234861294,0.001166267,1.456602132,237.5668205,0.053026176,0.22222,0.044659654,1.601724049,0.730285839,5.101648508,75.42312595,315.5074921,1760.464621,10.64926344,73.14307593,5.207884575,0.521133449,0.576102954,330.6228983,21.96452331,68.12559058,764.2241475,0,0,63.743,0,0,152.4837114,0
03,009,03009,37.18892984,0.047524805,3.925828479,0.1861951,8.368384196,0,0.074480834,21.55162335,0.003697699,0.02542,0.00330462,0,0,0.18150719,6.303196421,0,113.6239915,1.044045435,4.668706974,5.292327025,0.071748889,0.087471841,21.2274336,1.205034506,0,49.03956237,0,0,2.287,0,0,42.39219235,0
04,001,04001,0,3.879564231,2.944371359,0.49478806,5.785328136,0,0.094177189,833.5440057,0.094909038,0.02952,0.000472579,265.5312596,0,0.103718394,95.4703653,17.49409555,215.1475486,3.591516296,9.337413948,6.382475835,0.399291598,98.83090721,51.57929167,5.758062638,7.638750177,119.8286507,0,0,0,0,2.47000993,14.82521787,0
