CVEMUN , SCC ,VOC,CO,NO,NO2,NH3,PM10,PM25,CN,CO2,SO2,CH4,Categoria
21054,2201040330,9.893785481,62.4400805,28.32562865,0.578074054,0.068767354,0.587442018,0.424027036,,,0.257887027,, Camionetas particulares 
21054,2201040330,53.41538246,327.566857,141.4697256,2.887137258,0.401812563,4.472907659,3.390648949,,,1.634688772,, Pickup y Veh<3.8Ton 
21054,2201080330,8.877575176,113.0882959,3.741178428,0.07635058,0.088183532,0.20552569,0.102296375,,,0.032555237,, Motocicletas 
21054,2230071330,40.68016216,101.2901436,34.4376293,10.55346703,0.107094427,8.539288478,7.350212319,,,1.027345584,, Veh>3.8Ton 
21054,2230074330,3.04772706,4.93098679,1.565353229,0.479705021,0.003617128,0.555371121,0.479526523,,,0.075739408,, Tractocamiones 
21054,2230075330,5.6210077,14.3265092,3.178852137,0.974164363,0.008817574,0.882177275,0.746055325,,,0.164647635,, Autobœs 
21055,2201001330,0.194451155,2.815048584,4.759725769,0.097137261,0.002388449,0.009450728,0.003433273,,,0.010922751,, Taxi 
21055,2201020330,9.890776966,100.8641148,52.07200331,1.062693945,0.078555463,0.727070973,0.547185627,,,0.225699085,, Autom—viles Particulares 
21055,2201020330,0.01977391,0.14050877,0.077018817,0.001571813,0.000545671,0.002684236,0.001281295,,,0.002841145,, Camioneta de Transporte Pœblico 
21055,2201040330,6.56675359,47.90061666,18.73309137,0.382307987,0.037325066,0.278835615,0.201273732,,,0.131457472,, Camionetas particulares 
21055,2201040330,28.73965143,246.2105476,64.28656772,1.31197077,0.143057569,2.036228726,1.612698036,,,0.548428214,, Pickup y Veh<3.8Ton 
21055,2201080330,0.444249937,5.804258954,0.191835568,0.003915012,0.00452567,0.010404323,0.005126137,,,0.001669956,, Motocicletas 
21055,2230071330,48.63393549,122.251307,31.38460851,9.617863887,0.08960946,7.809806554,6.704132034,,,0.993165638,, Veh>3.8Ton 
21055,2230074330,2.56119082,4.1453007,1.494356547,0.457947973,0.004112313,0.59369676,0.507919981,,,0.091110896,, Tractocamiones 
21055,2230075330,5.2888756,9.2464237,2.948158939,0.903468061,0.007245779,0.845935164,0.71728431,,,0.15882156,, Autobœs 
21056,2201001330,0.549419542,5.893018293,10.06102473,0.205327035,0.00524123,0.039788246,0.029284971,,,0.013553061,, Taxi 
21056,2201020330,0.271373978,2.407071038,1.807747257,0.036892801,0.002669016,0.013632152,0.008608435,,,0.007974634,, Autom—viles Particulares 
21056,2201020330,0.1871323,0.8894507,0.766856938,0.015650142,0.001271764,0.011473209,0.008150788,,,0.006839592,, Camioneta de Transporte Pœblico 
21056,2201040330,0.478223493,3.078887857,1.703016436,0.034755437,0.00353074,0.017172492,0.01111859,,,0.011683906,, Camionetas particulares 
21056,2201040330,4.650637907,30.85035071,14.97476722,0.305607494,0.029881085,0.22870906,0.168848663,,,0.10241642,, Pickup y Veh<3.8Ton 
21056,2201080330,0.047945316,0.644359656,0.0212843,0.000434373,0.000502852,0.001155145,0.000568783,,,0.000185264,, Motocicletas 
21056,2230071330,0.771777,2.43689,0.856464173,0.262464827,0.001864581,0.030656363,0.020696591,,,0.01674284,, Veh>3.8Ton 
21056,2230074330,0,0,0,0,0,0,0,,,0,, Tractocamiones 
21056,2230075330,0,0,0,0,0,0,0,,,0,, Autobœs 
21057,2201001330,0.629142802,5.766980471,10.80932337,0.220598436,0.004830393,0.031361127,0.019859366,,,0.017250601,, Taxi 
21057,2201020330,0.489753137,4.177225996,2.553768492,0.052117724,0.004767528,0.038090212,0.027421137,,,0.014118456,, Autom—viles Particulares 
21057,2201020330,0.92486937,4.32629734,4.473830366,0.091302661,0.009587146,0.04845779,0.027725361,,,0.042047297,, Camioneta de Transporte Pœblico 
21057,2201040330,0.585592467,3.306966361,1.857220172,0.037902452,0.004434876,0.024492391,0.015607712,,,0.016383181,, Camionetas particulares 
21057,2201040330,3.449844573,25.71972132,7.872803271,0.160669455,0.019762324,0.324902052,0.258638662,,,0.079482008,, Pickup y Veh<3.8Ton 
21057,2201080330,0.098162956,1.289459465,0.042620457,0.000869805,0.001005703,0.002311686,0.001138803,,,0.000371011,, Motocicletas 
