GRIDCODE,CVE_ENTCVE_MUN,Fa
45179,20334,0.002762436
45180,20318,0.023768513
45181,20318,0.036929981
45182,20318,0.060097058
45183,20318,0.052301247
45184,20318,0.053369025
45185,20318,0.027036262
45186,20318,0.042360594
45187,20318,0.006880855
45188,20401,0.010093436
45189,20401,0.025182336
45190,20401,0.022147688
45191,20401,0.027947443
45192,20401,0.007310256
45193,20401,0.006838125
45196,20117,0.003455266
45197,20117,0.190513208
45198,20085,0.069758788
45199,20085,0.061982321
45200,20085,0.007171543
45205,20012,0.032883464
45209,20071,0.028840821
45210,20071,0.018450278
45215,20266,0.146383615
45216,20266,0.0884332
45217,20266,0.050368557
45229,20307,0.042760894
46219,20334,0.001332689
46220,20334,0.003568979
46221,20334,0.003509875
46222,20334,0.001283211
46227,20334,0.001817375
46228,20334,0.001592113
46229,20334,0.011740224
46230,20334,0.014405975
46231,20334,0.01575002
46232,20334,0.014203775
46233,20334,0.003839323
46234,20334,0.007235981
46235,20334,0.002734694
46236,20334,0.009093739
46237,20334,0.014784222
46238,20334,0.011561408
46239,20318,0.008791531
46240,20318,0.027733105
46241,20318,0.053684083
46242,20318,0.062345195
46243,20318,0.051192091
46244,20318,0.009714462
46245,20318,0.008098696
46246,20318,0.017975417
46247,20318,0.021157768
46248,20318,0.011824533
46249,20401,0.008793471
46250,20401,0.011261884
46251,20401,0.019299058
46252,20401,0.001588593
46257,20085,0.008332338
46258,20085,0.024036554
46259,20085,0.000825489
46263,20012,0.000364743
46264,20012,0.02512535
46265,20012,0.032934807
46266,20071,0.037811223
46267,20071,0.168501965
46268,20071,0.033774784
46269,20071,0.006406378
46270,20253,0.098119641
46271,20253,0.059866318
46274,20266,0.056379033
46275,20266,0.105217265
46276,20266,0.080490568
46277,20266,0.00360477
46287,20307,0.037835531
46288,20307,0.074808822
46289,20307,0.041736086
46290,20307,0.009642995
46291,20307,0.012786648
46292,20307,0.002901714
47276,20467,0.001937935
47277,20334,0.006640989
47278,20334,0.00443811
47279,20334,0.000220632
47285,20334,0.001650073
47286,20334,0.008934122
47287,20334,0.00882441
47288,20334,0.017204176
47289,20334,0.017308484
47290,20334,0.017339664
47291,20334,0.006161194
47292,20334,0.00141647
47293,20334,0.000851869
47294,20334,0.004718392
47295,20334,0.001249038
47296,20334,0.009087155
47297,20334,0.010422107
47298,20318,0.00021729
47299,20318,0.002550563
47300,20318,0.019843882
47301,20318,0.03172238
47302,20318,0.04646023
47303,20318,0.041122107
47304,20318,0.029098832
47305,20318,0.017503734
47306,20318,0.000887155
47308,20401,0.0000358
47311,20113,0.060222523
47312,20113,0.123244843
47313,20113,0.027706263
47316,20085,0.00795055
47317,20085,0.085500997
47318,20085,0.098585247
47319,20085,0.021809784
47320,20085,0.035478417
47321,20085,0.033537587
47322,20012,0.074595525
47323,20012,0.186084521
47324,20012,0.127381255
47325,20071,0.200214569
47326,20071,0.243128036
47327,20071,0.11411368
47328,20253,0.145837784
47329,20253,0.261315649
47330,20253,0.070180408
47334,20266,0.00489679
47335,20266,0.030722693
47340,20266,0.004073125
47346,20307,0.0193417
47347,20307,0.02291544
47348,20307,0.038247527
47349,20307,0.059049987
47350,20307,0.066619804
47351,20307,0.090249093
47352,20453,0.041629583
47353,20453,0.00939286
47354,20453,0.036889833
47355,20453,0.000951064
47425,7097,0.00000558
47426,7097,0.004500298
48335,20467,0.001201065
48336,20334,0.004521737
48337,20334,0.004416405
48338,20334,0.000699894
48339,20334,0.004044238
48340,20334,0.00804488
48341,20334,0.00637244
48342,20334,0.009195248
48343,20334,0.012181495
48344,20334,0.011316337
48345,20334,0.008667844
48346,20334,0.016598742
48347,20334,0.017391859
48348,20334,0.010854585
48349,20334,0.006765437
48350,20334,0.000601095
48355,20334,0.000803437
48356,20334,0.002768576
48357,20334,0.000513094
48358,20318,0.0000146
48359,20318,0.02453322
48360,20318,0.00405793
48361,20318,0.011639879
48362,20318,0.018405993
48367,20153,0.105740527
48368,20153,0.0000214
48370,20113,0.152035046
48375,20085,0.023415184
48377,20085,0.010255598
48378,20085,0.033297593
48379,20085,0.119379732
48380,20012,0.023691491
48381,20012,0.152363922
48382,20012,0.169596544
48383,20012,0.072005292
48384,20071,0.004288384
48385,20071,0.002804025
48386,20253,0.110372224
48387,20253,0.000777535
48388,20253,0.060977231
48389,20253,0.000503818
48399,20266,0.170943284
48400,20266,0.0000157
48408,20307,0.013816766
48409,20307,0.061286178
48410,20307,0.055374391
48411,20453,0.01732783
48412,20453,0.063905075
48413,20453,0.232039798
48414,20453,0.058351385
48483,7097,0.00251664
48484,7097,0.00813095
48485,7097,0.00457336
49391,20467,0.002422108
49392,20467,0.010896781
49393,20467,0.002738684
49394,20467,0.008104421
49395,20467,0.01344562
49396,20334,0.001188531
49397,20334,0.015763989
49398,20334,0.017416835
49399,20334,0.016990123
49400,20334,0.013653352
49401,20334,0.017416835
49402,20334,0.017416835
49403,20334,0.01088084
49404,20334,0.008343345
49405,20334,0.016391069
49406,20334,0.011370003
49407,20334,0.001716695
49408,20334,0.009444025
49409,20364,0.018083988
49410,20364,0.008330519
49411,20364,0.033998006
49412,20364,0.019639882
49413,20364,0.029153152
49414,20364,0.013430157
49415,20364,0.008777589
