GRIDCODE,CVENTMUN,POB URBANA en CELL,POBTOT en MUN,Furb
60047,20428,275,830,0.331325301
60076,20079,110,76596,0.001436106
60077,20079,2,76596,0.000026111
60078,20079,2,76596,0.000026111
60079,20308,27,2827,0.009550761
60083,20248,331,8537,0.038772402
60084,20248,317,8537,0.037132482
60085,20248,2212,8537,0.259107415
60117,7009,51,27800,0.001834532
60118,7009,1422,27800,0.051151079
61027,20168,569,960,0.592708333
61033,20482,221,31819,0.006945536
61034,20482,11,31819,0.000345705
61035,20482,61,31819,0.001917094
61042,20367,647,4500,0.143777778
61068,20314,59,1404,0.042022792
61069,20314,20,1404,0.014245014
61083,20384,658,3857,0.170598911
61084,20362,744,1474,0.504748982
61085,20059,110,23940,0.00459482
61086,20059,1585,23940,0.066207185
61087,20059,131,23940,0.005472013
61089,20154,4,883,0.004530011
61090,20154,59,883,0.066817667
61092,20126,35,4097,0.008542836
61093,20126,1106,4097,0.269953625
61097,20074,44,505,0.087128713
61106,20428,26,830,0.031325301
61112,20410,524,524,1
61122,20282,640,640,1
61135,20515,407,47127,0.008636238
61136,20515,26,47127,0.000551701
61137,20308,0,2827,0
61138,20308,2800,2827,0.990449239
61177,7009,1,27800,3.59712E-05
62099,20225,89,2079,0.042809043
62100,20225,69,2079,0.033189033
62127,20314,148,1404,0.105413105
62128,20314,44,1404,0.031339031
62140,20353,640,1906,0.335781742
62141,20353,1195,1906,0.626967471
62142,20384,515,3857,0.133523464
62143,20384,516,3857,0.133782733
62144,20059,265,23940,0.01106934
62145,20059,3900,23940,0.162907268
62146,20059,1456,23940,0.060818713
62147,20538,190,522,0.363984674
62148,20154,23,883,0.026047565
62149,20154,100,883,0.113250283
62151,20126,46,4097,0.011227728
62152,20126,261,4097,0.06370515
62156,20074,461,505,0.912871287
62157,20361,922,922,1
62176,20008,540,540,1
62193,20515,0,47127,0
62194,20515,6,47127,0.000127316
62241,7009,822,27800,0.029568345
62242,7009,81,27800,0.002913669
62243,7009,202,27800,0.007266187
63135,12023,1667,13549,0.12303491
63136,12023,319,13549,0.023544173
63151,20285,5,2004,0.00249501
63152,20285,764,2004,0.381237525
63155,20070,367,5692,0.064476458
63158,20225,1098,2079,0.528138528
63159,20225,77,2079,0.037037037
63161,20082,2004,2004,1
63195,20534,18,3606,0.004991681
63198,20351,9,1269,0.007092199
63199,20351,92,1269,0.07249803
63200,20351,2,1269,0.001576044
63202,20061,223,672,0.331845238
63203,20061,167,672,0.248511905
63204,20059,10,23940,0.000417711
63206,20538,246,522,0.471264368
63207,20538,12,522,0.022988506
63208,20154,16,883,0.018120045
63212,20146,1077,1077,1
63213,20170,22,1474,0.014925373
63252,20515,150,47127,0.003182889
63253,20124,34,11959,0.002843047
63258,20043,1475,86410,0.017069784
63300,7009,0,27800,0
63301,7009,96,27800,0.003453237
63302,7009,299,27800,0.010755396
64198,12023,19,13549,0.001402318
64199,12023,13,13549,0.00095948
64202,20402,40,1075,0.037209302
64203,20402,278,1075,0.258604651
64212,20312,15,4710,0.003184713
64213,20070,361,5692,0.063422347
64214,20070,1886,5692,0.331342235
64240,20477,0,406,0
64241,20477,195,406,0.480295567
64254,20534,1848,3606,0.512479201
64257,20351,3,1269,0.002364066
64258,20289,109,797,0.136762861
64259,20351,367,1269,0.289204098
64266,20235,0,742,0
64267,20235,254,742,0.342318059
64272,20170,758,1474,0.514246947
64273,20170,87,1474,0.059023066
64310,20515,5,47127,0.000106096
64311,20515,1436,47127,0.030470855
64312,20124,0,11959,0
64328,20130,4,3140,0.001273885
64329,20130,917,3140,0.292038217
64348,20025,256,10763,0.02378519
64349,20025,984,10763,0.091424324
65256,12023,0,13549,0
65257,12023,0,13549,0
65258,12023,579,13549,0.042733781
65262,20474,0,1880,0
65271,20312,115,4710,0.024416136
65272,20312,59,4710,0.012526539
65273,20188,120,5561,0.021578853
65274,20188,16,5561,0.00287718
65299,20477,16,406,0.039408867
65300,20477,12,406,0.02955665
65316,20289,69,797,0.086574655
65317,20289,619,797,0.776662484
65318,20351,139,1269,0.109535067
65326,20235,0,742,0
65331,20170,43,1474,0.02917232
65334,20316,41,753,0.054448871
65335,20316,14,753,0.018592297
65357,20052,29,3829,0.007573779
65358,20052,65,3829,0.016975712
65369,20421,121,3638,0.033260033
65370,20421,40,3638,0.010995052
65371,20515,53,47127,0.001124621
65378,20441,20,7613,0.002627085
65379,20441,261,7613,0.034283462
65387,20130,0,3140,0
65388,20130,266,3140,0.084713376
65396,20141,491,4724,0.103937341
65397,20141,137,4724,0.029000847
65408,20025,988,10763,0.091795968
66318,20180,8,1890,0.004232804
66319,20180,321,1890,0.16984127
66320,20474,0,1880,0
66321,20474,140,1880,0.074468085
66331,20302,1027,2527,0.406410764
66374,20563,255,1284,0.198598131
66375,20563,175,1284,0.136292835
66393,20316,10,753,0.013280212
66394,20316,12,753,0.015936255
66403,20122,60,614,0.09771987
66416,20052,548,3829,0.143118308
66417,20052,310,3829,0.080961086
66429,20421,31,3638,0.008521165
66437,20441,18,7613,0.002364377
66438,20441,0,7613,0
66455,20141,97,4724,0.020533446
66456,20141,41,4724,0.008679086
66457,20143,63,5408,0.011649408
66467,20327,12,7441,0.001612686
67377,20180,11,1890,0.005820106
67378,20180,150,1890,0.079365079
67380,20056,25,968,0.025826446
67381,20056,141,968,0.145661157
67411,20158,0,630,0
67412,20158,102,630,0.161904762
67476,20052,0,3829,0
67481,20418,349,8996,0.03879502
67482,20418,36,8996,0.004001779
67495,20043,65,86410,0.000752228
67496,20043,1495,86410,0.017301238
67497,20043,671,86410,0.007765305
67516,20075,108,2671,0.040434294
67517,20075,24,2671,0.008985399
67525,20327,62,7441,0.008332213
67526,20327,15,7441,0.002015858
68420,12077,34,6553,0.005188463
68440,20056,61,968,0.063016529
68443,20345,215,1337,0.160807779
68444,20345,281,1337,0.210172027
68446,20111,1361,2621,0.519267455
68447,20111,478,2621,0.18237314
68467,20386,598,598,1
68470,20158,38,630,0.06031746
68471,20158,490,630,0.777777778
68485,20277,697,1846,0.377573131
68486,20149,159,1069,0.148737138
68492,20080,1294,1294,1
68516,20125,139,880,0.157954545
68539,20418,0,8996,0
68540,20418,539,8996,0.059915518
68541,20418,71,8996,0.007892397
68554,20043,0,86410,0
68555,20043,432,86410,0.004999421
68556,20043,847,86410,0.009802106
68562,20043,140,86410,0.001620183
68575,20075,5,2671,0.001871958
68576,20075,19,2671,0.007113441
68584,20327,56,7441,0.00752587
68585,20327,148,7441,0.0198898
68596,7046,118,12494,0.009444533
68597,7046,698,12494,0.055866816
69473,12018,1582,6619,0.239008914
69474,12018,117,6619,0.017676386
69478,12077,132,6553,0.020143446
69479,12077,0,6553,0
69520,20466,1901,1901,1
69544,20277,0,1846,0
69553,20028,217,9748,0.022260977
69554,20028,57,9748,0.005847353
69555,20015,323,2851,0.113293581
69556,20015,0,2851,0
69575,20125,67,880,0.076136364
69576,20125,2,880,0.002272727
69582,20204,480,486,0.987654321
69613,20030,366,7823,0.046785121
69614,20043,1147,86410,0.013273927
69615,20043,633,86410,0.007325541
69621,20043,99,86410,0.001145701
70532,12018,135,6619,0.02039583
70533,12018,0,6619,0
