GRIDCODE,CVENTMUN,Fb
44166,20307,0.013499027
44167,20307,0.012017668
44168,20307,0.009846683
44169,20307,0.003116994
44170,20307,0.000432482
45171,20334,0.000154997
45172,20334,0.001315582
45173,20334,0.000943275
45174,20334,0.001366473
45176,20334,0.000282003
45177,20334,0.001655614
45178,20334,0.00170889
45179,20334,0.004225518
45180,20318,0.005936506
45181,20318,0.008137627
45182,20318,0.002095923
45184,20318,0.014807701
45185,20318,0.032183559
45186,20318,0.017882071
45187,20318,0.025504893
45188,20318,0.007382556
45189,20401,0.01907616
45190,20401,0.021320414
45191,20401,0.017031243
45192,20401,0.032293337
45193,20117,0.014642318
45194,20117,0.057369569
45195,20117,0.059796895
45196,20117,0.059650919
45197,20117,0.049805254
45198,20085,0.003342877
45199,20085,0.020516254
45200,20085,0.028762289
45201,20085,0.031325038
45202,20012,0.020939222
45203,20012,0.066805263
45204,20012,0.067661992
45205,20012,0.051610992
45206,20012,0.001901428
45207,20071,0.127696241
45208,20071,0.131224536
45209,20071,0.109266086
45210,20071,0.078326793
45211,20253,0.002420571
45212,20324,0.025237957
45213,20253,5.72E-05
45214,20266,0.004418729
45215,20266,0.012763085
45216,20266,0.015110773
45217,20266,0.016245855
45218,20266,0.017747839
45219,20266,0.017747839
45220,20266,0.017747839
45221,20266,0.017747839
45222,20266,0.017747839
45223,20266,0.002111568
45224,20307,0.014924396
45225,20307,0.014924396
45226,20307,0.014924396
45227,20307,0.014924396
45228,20307,0.014277379
45229,20307,0.007291726
45230,20307,0.007962718
45231,20307,0.001153363
46218,20334,0.001024008
46219,20334,0.002659212
46220,20334,0.001787685
46221,20334,0.002035198
46222,20334,0.003756073
46223,20334,0.001193225
46224,20334,0.001492768
46225,20334,0.002990931
46226,20334,0.004565087
46227,20334,0.002816583
46228,20334,0.004870655
46229,20334,0.006114177
46230,20334,0.004585339
46231,20334,0.0028152
46232,20334,0.002143636
46233,20334,0.008001878
46234,20334,0.008383177
46235,20334,0.011266361
46236,20334,0.011448537
46237,20334,0.002088828
46238,20334,0.005364874
46239,20318,0.000473078
46240,20318,0.025480769
46241,20318,0.00793736
46242,20318,0.000366816
46243,20318,0.011471854
46244,20318,0.050612006
46245,20318,0.047910486
46246,20318,0.039254157
46247,20318,0.03459974
46248,20318,0.019867046
46249,20318,0.004339702
46250,20401,0.029370937
46251,20401,0.023427098
46252,20117,0.041819478
46253,20117,0.059796895
46254,20117,0.059796895
46255,20117,0.059796895
46256,20117,0.059796895
46257,20085,0.008006024
46258,20085,0.027133425
46259,20085,0.031181086
46260,20085,0.031325038
46261,20012,0.000233307
46262,20012,0.008488102
46263,20012,0.062829093
46264,20012,0.050735088
46265,20012,0.001661174
46266,20071,0.11176707
46267,20071,0.044514268
46268,20071,0.070830423
46269,20071,0.010346954
46270,20253,0.031612507
46271,20253,0.038526653
46272,20253,0.024273406
46273,20253,0.000298617
46274,20266,0.016021462
46275,20266,0.014610274
46276,20266,0.014847795
46277,20266,0.017640345
46278,20266,0.017747839
46279,20266,0.017747839
46280,20266,0.017747839
46281,20266,0.017747839
46282,20266,0.011350795
46283,20266,0.000497366
46284,20307,0.014924396
46285,20307,0.014924396
46286,20307,0.014924396
46287,20307,0.009956326
46288,20307,0.004480129
46289,20307,0.008496653
46290,20307,0.008209477
46291,20307,0.005114428
46292,20307,0.002246635
46293,20453,0.000899028
47275,20467,0.000196161
47276,20467,0.006784525
47277,20334,0.001345018
47278,20334,0.004465194
47279,20334,0.006471096
47280,20334,0.005500406
47281,20334,0.005930164
47282,20334,0.011414322
47283,20334,0.00741241
47284,20334,0.003351127
47285,20334,0.002057331
47286,20334,0.011917692
47287,20334,0.012204038
47288,20334,0.005985404
47289,20334,0.003399036
47290,20334,3.53E-05
47291,20334,0.002519098
47292,20334,0.001878582
47293,20334,0.005230828
47294,20334,0.008450768
47295,20334,0.011384831
47296,20334,0.00548271
47297,20334,0.004768667
47298,20318,1.50E-05
47299,20318,0.039059627
47300,20318,0.037616564
47301,20318,0.027205801
47302,20318,0.005917077
47303,20318,0.017008999
47304,20318,0.029505178
47305,20318,0.039667557
47306,20153,1.07E-05
47307,20318,0.055008488
47308,20318,0.052073112
47309,20318,0.012775256
47310,20344,0.028672906
47311,20113,0.010814776
47312,20113,0.041670868
47313,20113,0.034712489
47314,20113,0.003039204
47315,20117,0.059247815
47316,20085,0.000549442
47317,20085,0.016398328
47318,20085,0.014133254
47319,20085,0.02752174
47320,20085,0.025138136
47321,20085,0.025476588
47322,20012,0.030771329
47324,20012,0.00039525
47325,20012,0.000450572
47326,20071,0.002123509
47327,20253,0.003863278
47328,20253,0.031398337
47329,20253,0.000930686
47330,20253,0.051154293
47331,20253,0.044912236
47332,20253,0.004814904
47333,20266,0.015988694
47334,20266,0.016486956
47335,20266,0.016831693
47336,20266,0.017747839
47337,20266,0.017747839
47338,20266,0.017747839
47339,20266,0.017747839
47340,20266,0.017626379
47341,20125,3.43E-06
47342,20125,0.000954914
47343,20125,7.14E-05
47344,20307,0.014924396
47345,20307,0.014924396
47346,20307,0.012384695
47347,20307,0.011915438
47348,20307,0.00742877
47349,20307,0.006097813
47350,20307,0.005455318
47351,20307,0.00081383
47352,20453,0.032387608
47353,20453,0.030640711
47354,20453,0.013069826
47355,20453,0.003167716
47425,7097,0.000331238
47426,7097,0.003316413
48333,20467,0.002592514
48334,20467,0.010036436
48335,20467,0.009852106
48336,20334,0.000908851
48337,20334,0.006383622
48338,20334,0.01171362
48339,20334,0.010455911
48340,20334,0.007749075
48341,20334,0.011029395
48342,20334,0.011248742
48343,20334,0.008592743
48344,20334,0.007425446
48345,20334,0.0093452
48346,20334,0.011846627
48347,20334,0.00711081
48348,20334,0.006705716
48349,20334,0.003024596
48350,20334,3.06E-05
48351,20364,0.015711542
48352,20364,0.015711542
48353,20334,0.003750947
48354,20334,0.010675896
48355,20334,0.007727927
48356,20334,0.003264435
48357,20334,0.00233763
48358,20318,0.000262385
48359,20153,0.002349451
48360,20153,0.002143363
48361,20153,0.011237598
48362,20153,0.017360282
48363,20153,0.024204452
48364,20153,0.019426604
48365,20153,0.05480216
48366,20153,0.051467775
48367,20153,0.024102117
48368,20153,0.004106422
48369,20344,0.046126789
48370,20113,0.034125537
48371,20113,0.07748439
48372,20113,0.07748439
48373,20113,0.028502644
48374,20117,0.059796895
48375,20085,0.002726883
48376,20085,0.031277534
48377,20085,0.029536616
48378,20085,0.025518439
48379,20085,0.010507008
48380,20012,0.001906775
48381,20012,0.009434717
48382,20012,6.29E-05
48383,20012,0.000264235
48384,20071,0.002513379
48385,20071,0.001230233
48386,20253,0.040755562
48387,20253,0.069670997
48388,20253,0.053787924
48389,20253,0.069743215
48390,20253,0.04597633
48391,20253,0.000842855
48392,20266,0.001476454
48393,20266,0.005603771
48394,20266,0.006735512
48395,20266,0.012483419
48396,20266,0.017747839
48397,20266,0.017747839
48398,20266,0.017747839
48399,20266,0.012650333
48400,20125,0.001476866
48401,20125,0.003984564
48402,20125,0.003187776
48403,20125,0.001183268
48404,20125,0.001783374
48405,20125,0.001630514
48406,20307,0.014924396
48407,20307,0.014924396
48408,20307,0.013110158
48409,20307,0.006792883
48410,20307,0.005485392
48411,20453,0.058165528
48412,20453,0.046654061
48413,20453,0.005099921
48414,20453,0.03425118
48415,20453,0.019165844
48416,20453,1.24E-05
48483,7097,0.001462622
48484,7097,0.004269355
48485,7097,0.003520695
49390,20414,0.000484932
49391,20414,0.000299182
49392,20467,0.007322377
49393,20467,0.018062794
49394,20467,0.017051209
49395,20467,0.012724269
49396,20334,7.05E-05
49397,20334,0.000250647
49398,20334,7.61E-05
49399,20334,0.005227825
49400,20334,0.005882421
49401,20334,0.003098943
49402,20334,0.003498224
49403,20334,0.011070653
49404,20334,0.007637613
49405,20334,0.00502172
49406,20334,0.004609322
49407,20334,0.012101843
49408,20334,0.002769406
49409,20364,0.013417261
49410,20364,0.014654665
49411,20364,0.011398279
49412,20364,0.013696709
49413,20334,0.000570568
49414,20334,0.000369937
49415,20364,0.001113596
49416,20526,0.047730199
49417,20526,0.047730199
49418,20153,0.025364379
49419,20153,0.047488524
49420,20153,0.058350758
49421,20153,0.047127386
49422,20153,0.058266607
49423,20153,0.045864189
49424,20153,0.029551828
49425,20153,0.026525847
49426,20153,0.00798
49427,20344,0.032965552
49428,20291,0.008858106
49429,20113,0.054797125
49430,20113,0.07748439
49431,20113,0.077249517
49432,20113,0.021316005
49433,20117,0.015739828
49434,20085,0.013534188
49435,20085,0.027019121
49436,20085,0.029057744
49437,20085,0.029983991
49438,20085,0.02885946
49439,20012,0.000288383
49440,20012,0.005251098
49441,20012,0.002669679
49442,20306,0.06940946
49443,20236,0.023020777
49444,20236,0.184772219
49445,20236,0.039119409
49446,20253,0.069876142
49447,20253,0.069876142
49448,20253,0.051494228
49449,20253,0.0103628
49450,20495,0.06819407
49451,20495,0.06819407
49452,20211,0.000612908
49453,20211,0.000219004
49454,20266,0.001842903
49455,20266,0.016663327
49456,20266,0.017747839
49457,20125,0.000670898
49458,20125,0.000131608
49459,20125,0.002347702
49460,20125,0.003962326
49461,20125,0.003984564
49462,20125,0.003984564
49463,20125,0.003979673
49464,20125,0.003975553
49465,20125,0.000813405
49466,20307,0.014924396
49467,20307,0.014924396
49468,20307,0.014667362
49469,20307,0.00466183
49470,20307,7.37E-06
49471,20453,0.02871969
49472,20453,0.02538404
49473,20453,0.059422057
49474,20453,0.055980125
49475,20453,0.039939691
49476,20453,0.026380726
49477,20515,0.003694855
49478,20515,0.001470819
49479,20515,0.00089373
49540,7097,0.000799222
49541,7097,0.003601248
49542,7097,0.006078273
49543,7097,0.004563832
49544,7097,0.005840346
50448,20414,0.003508929
50449,20414,0.023854484
50450,20414,0.011461737
50451,20467,0.018708779
50452,20467,0.019022257
50453,20467,0.019022257
50454,20467,0.011842417
50455,20467,0.0009143
50456,20334,0.003759576
50458,20334,0.001359117
50459,20334,0.004483782
50460,20334,0.000566242
50461,20334,0.000440231
50462,20334,0.0063801
50463,20334,0.011103134
50464,20334,0.011141048
50465,20334,0.011744462
50466,20334,0.009690835
50467,20334,0.003395696
50468,20364,0.014097655
50469,20364,0.014159928
50470,20364,0.012742843
50471,20364,0.008566023
50472,20364,0.012025548
50473,20364,0.013461732
50474,20364,0.003523293
50475,20526,0.046355072
50476,20526,0.043017433
50477,20153,0.001157312
50478,20153,0.045664045
50479,20153,0.054773725
50480,20153,0.041765822
50481,20153,0.043196682
50482,20153,0.000690925
50483,20159,0.010588082
50484,20159,0.009171787
50485,20344,0.039685809
50486,20344,0.044874872
50487,20291,0.019897441
50488,20113,0.013391385
50489,20113,0.076338433
50490,20113,0.058660498
50491,20113,3.31E-05
50492,20366,0.071313672
50493,20085,0.003733685
50494,20085,0.023511455
50495,20085,0.031325038
50496,20085,0.031325038
50497,20085,0.029797287
50498,20085,0.019331694
50499,20085,1.86E-05
50500,20254,0.001338299
50501,20279,0.001756949
50502,20279,0.052156919
50503,20236,0.105178119
50504,20236,0.099747945
50505,20236,0.002510288
50506,20253,0.023852324
50507,20253,0.037138472
50508,20253,0.001874113
50509,20211,0.003166072
50510,20211,0.024272468
50511,20211,0.037995688
50512,20211,0.013755727
50513,20266,0.006547855
50514,20266,0.017660835
50515,20266,0.017747839
50516,20125,0.002864358
50517,20125,0.003984564
50518,20125,0.003455986
50519,20125,0.003661381
50520,20125,0.003984564
50521,20125,0.003668399
50522,20125,0.001388292
50523,20125,0.003984564
50524,20125,0.001621577
50525,20307,0.012785965
50526,20307,0.014924396
50527,20307,0.014184457
50528,20307,0.012691602
50529,20307,0.012787563
50530,20307,0.009191924
50531,20307,0.002598136
50532,20453,0.062448065
50533,20453,0.062250754
50534,20453,0.04786038
50535,20453,0.031274842
50536,20515,0.009059134
50537,20515,0.007265512
50538,20515,0.007207147
50539,20515,0.000531906
50597,7097,0.000913908
50598,7097,0.004030138
50599,7097,0.006081813
50600,7097,0.006107674
50601,7097,0.006107674
50602,7097,0.004787649
50603,7097,0.006107674
51505,20482,0.000512372
51506,20414,0.006920006
51507,20414,0.008417062
51508,20414,0.005173073
51509,20414,0.021317385
51510,20467,0.019022257
51511,20467,0.019022257
51512,20467,0.018238486
51513,20467,0.009459044
51514,20467,0.001230292
51515,20334,2.37E-05
51516,20334,0.002107094
51517,20334,0.006747433
51518,20334,0.005054895
51519,20334,0.001202315
51521,20334,0.004204456
51522,20334,0.009831231
51523,20334,0.011725013
51524,20334,0.009237247
51525,20334,0.003665384
51526,20334,0.003423862
51527,20334,0.000425879
51528,20364,0.007560302
51529,20364,0.015144136
51530,20364,0.010352543
51531,20364,0.014766559
51532,20364,0.010556396
51533,20526,0.047730199
51534,20526,0.047553199
51535,20526,0.039552658
51536,20526,0.037587362
51537,20153,0.022425817
51538,20153,0.020509823
51539,20153,0.045072822
51540,20153,0.030673937
51541,20159,0.01622343
51542,20159,0.01622343
51543,20159,0.015831066
51544,20159,0.003794612
51545,20291,0.002386601
51546,20291,0.037282164
51547,20113,0.039325074
51548,20113,0.069215547
51549,20113,0.041215526
51550,20113,0.000871135
51551,20366,0.071313672
51552,20366,0.071313672
51553,20085,0.002948892
51554,20085,0.031295654
51555,20085,0.031325038
51556,20085,0.028905023
51557,20085,0.00152063
51558,20254,0.042522348
51559,20254,0.007043083
51560,20279,0.098495091
51561,20279,0.107634659
51562,20236,0.095142016
51563,20236,0.139874031
51564,20236,0.016332209
51565,20424,0.073391872
51566,20424,0.079407892
51567,20211,0.003824307
51568,20211,0.011333654
51569,20148,0.072237508
51570,20148,0.07263421
51571,20211,0.037723864
51572,20211,0.011113569
51573,20266,0.017747839
51574,20266,0.015339775
51575,20125,0.000628408
51576,20125,0.002122876
51577,20125,0.003715264
51578,20125,0.003984564
51579,20125,0.003984564
51580,20125,0.003984564
51581,20125,0.003904674
51582,20125,0.003363683
51583,20125,9.28E-05
51584,20307,0.002549681
51585,20307,0.014854584
51586,20307,0.014924396
51587,20307,0.014924396
51588,20307,0.012184474
51589,20307,0.009873405
51590,20307,0.014070835
51591,20307,0.010462169
51592,20307,0.002533531
51593,20453,0.062448065
