GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
177536,21108,0,0.00362647,0.00144796,0,24,24
177538,21108,0,0.00166213,0.00066365,0,11,11
177539,21137,0,0.00066423,0.00021775,0,2,2
177540,21137,0.00016197,0,0.00010887,1,0,1
177543,21067,0,0.13551258,0.05335025,0,883,883
177544,21067,0,0.00046041,0.00018126,0,3,3
177545,21067,0,0.00015347,0.0000604,0,1,1
177546,21067,0,0.00322284,0.00126881,0,21,21
177548,21093,0,0.08035969,0.07248616,0,563,563
177549,21058,0,0.00017606,0.00010386,0,2,2
177550,21058,0,0.00184859,0.00109051,0,21,21
177551,21058,0,0.07667254,0.04523031,0,871,871
177553,21116,0,0.01507002,0.01396005,0,297,297
177555,30079,0,0.00012353,0.0000932,0,1,1
177556,21116,0,0.00705297,0.00653349,0,139,139
177557,30079,0,0.08882026,0.06704588,0,719,719
177558,30046,0,0.16496245,0.1163518,0,1823,1823
177559,30046,0,0.16224776,0.11443707,0,1793,1793
177560,30024,0,0.08775409,0.06056251,0,885,885
177561,30024,0.88537986,0.10907288,0.3496202,4009,1100,5109
177562,30024,0.11462014,0.00019831,0.03565319,519,2,521
177563,30024,0,0.00049579,0.00034216,0,5,5
177564,30024,0,0.00922162,0.0063642,0,93,93
177566,30024,0,0.02964799,0.02046123,0,299,299
177568,30024,0,0.03004462,0.02073496,0,303,303
177569,30017,0,0.02813529,0.02334244,0,94,94
177570,30024,0,0.03510164,0.02422501,0,354,354
177571,30134,0,0.02883762,0.01805305,0,390,390
177572,30134,0,0.03090802,0.01934916,0,418,418
177573,30134,0,0.02514049,0.01573856,0,340,340
177575,30134,0,0.00192251,0.00120354,0,26,26
177576,30126,0,0.0000447,0.0000307,0,1,1
177577,30126,0.46980261,0.00035725,0.14710216,4784,8,4792
177578,30126,0.2483551,0.00701112,0.08245334,2529,157,2686
177579,30126,0,0.05992944,0.04119597,0,1342,1342
177580,30126,0,0.00325995,0.00224091,0,73,73
177582,30016,0,0.13514357,0.03396078,0,866,866
178336,14043,0,0.0000644,0.0000427,0,1,1
178338,14043,0,0.00122289,0.000811,0,19,19
178339,14043,0,0.14417198,0.09561209,0,2240,2240
178342,14043,0,0.0000644,0.0000427,0,1,1
178348,14043,0,0.00547081,0.00362814,0,85,85
178349,14043,0,0.0185364,0.01229298,0,288,288
178354,14027,0,0.13439728,0.11424778,0,1979,1979
178356,14027,0,0.00013582,0.00011546,0,2,2
178357,14027,0,0.0029202,0.00248239,0,43,43
178361,14027,0,0.00013582,0.00011546,0,2,2
178362,14027,0,0.00210526,0.00178963,0,31,31
178365,14027,0,0.0057725,0.00490706,0,85,85
178366,14027,0,0.00101868,0.00086595,0,15,15
178367,14027,0,0.00217318,0.00184736,0,32,32
178369,14027,0,0.00719864,0.00611939,0,106,106
178370,6008,0,0.02007808,0.00880842,0,72,72
178371,6008,0.01874455,0.00167317,0.0112552,86,6,92
178372,6008,0,0.00027886,0.00012234,0,1,1
178373,6008,0,0.00083659,0.00036702,0,3,3
178374,6008,0,0.02872281,0.01260093,0,103,103
178377,6003,0,0.00028588,0.0000957,0,2,2
178379,6003,0,0.01586621,0.00531406,0,111,111
178381,6003,0,0.09391081,0.03145347,0,657,657
178382,6003,0,0.03344768,0.0112026,0,234,234
178383,6003,0,0.25557461,0.08559939,0,1788,1788
178384,6010,0,0.16426146,0.00322618,0,387,387
178385,6005,0,0.00113588,0.00029513,0,8,8
178386,6005,0,0.02584126,0.00671413,0,182,182
178388,14103,0.47921496,0.02420382,0.42998898,3101,19,3120
178389,14103,0.00139082,0.03566879,0.00509923,9,28,37
178390,14103,0,0.28917198,0.03128445,0,227,227
178392,14108,0,0.00135155,0.0002633,0,9,9
178393,14108,0,0.1859138,0.03621789,0,1238,1238
178395,14087,0,0.00811542,0.00213688,0,36,36
178399,14087,0,0.00338143,0.00089037,0,15,15
178400,14087,0,0.01758341,0.0046299,0,78,78
178401,14087,0,0.01465284,0.00385825,0,65,65
178402,14087,0,0.03674482,0.00967531,0,163,163
178403,14049,0,0.00635435,0.00534311,0,51,51
178404,14049,0,0.00037379,0.0003143,0,3,3
178405,14049,0,0.00274109,0.00230487,0,22,22
178406,14049,0,0.01881386,0.0158198,0,151,151
178407,14049,0,0.00049838,0.00041907,0,4,4
178408,14049,0,0.00137055,0.00115244,0,11,11
178409,14049,0,0.00087217,0.00073337,0,7,7
178411,14049,0,0.00024919,0.00020953,0,2,2
178415,14056,0,0.00384615,0.00278109,0,7,7
178419,14049,0,0.10727635,0.0902043,0,861,861
178420,14049,0,0.00024919,0.00020953,0,2,2
178422,14049,0,0.00062298,0.00052383,0,5,5
178424,16012,0,0.00732977,0.0025335,0,107,107
178425,16068,0,0.00760495,0.0029649,0,75,75
178426,16068,0,0.00598256,0.00233239,0,59,59
178428,16083,0,0.07667534,0.05908751,0,1738,1738
178434,16058,0,0.00098474,0.00021238,0,4,4
178437,16058,0.17458706,0.11742984,0.16225974,2579,477,3056
178438,16058,0.82541294,0.04258986,0.65657853,12193,173,12366
178439,16102,0.04183602,0.00379516,0.03926139,12300,81,12381
178440,16102,0.24080543,0,0.22450753,70798,0,70798
178441,16102,0.17900716,0,0.16689182,52629,0,52629
178442,16102,0.07705651,0.00515392,0.07219009,22655,110,22765
178443,16102,0,0.00032798,0.0000222,0,7,7
178444,16111,0,0.17068248,0.08888451,0,1353,1353
178445,16111,0.33036326,0.08023212,0.20010511,2410,636,3046
178446,16111,0.03276217,0.03645768,0.03468664,239,289,528
178449,16079,0,0.02254483,0.01037221,0,469,469
178450,16079,0,0.00004807,0.0000221,0,1,1
178451,16079,0,0.019228,0.00884623,0,400,400
178452,16079,0,0.00033649,0.00015481,0,7,7
178453,16079,0,0.01735327,0.00798372,0,361,361
178454,16079,0.03186696,0.01648801,0.02479156,778,343,1121
178455,16079,0.27107397,0.00706629,0.14961187,6618,147,6765
178456,16079,0.35131482,0.00389367,0.19147666,8577,81,8658
178457,16079,0.00200705,0,0.00108366,49,0,49
178458,16066,0,0.08883662,0.02237055,0,1964,1964
178459,16066,0,0.00343767,0.00086566,0,76,76
178463,16001,0,0.02139163,0.00828252,0,91,91
178465,16001,0,0.01951105,0.00755438,0,83,83
178466,16001,0,0.02021627,0.00782743,0,86,86
178467,16001,0,0.02867889,0.01110403,0,122,122
178468,16049,0,0.00082949,0.00051644,0,9,9
178469,16049,0,0.00552995,0.00344293,0,60,60
178470,16049,0,0.10746544,0.06690767,0,1166,1166
178472,16049,0,0.00248848,0.00154932,0,27,27
178473,16049,0,0.0002765,0.00017215,0,3,3
178474,16049,0,0.00294931,0.00183623,0,32,32
178475,16049,0,0.0000922,0.0000574,0,1,1
178476,16049,0,0.01474654,0.00918116,0,160,160
178477,16101,0,0.00172968,0.00152738,0,14,14
178478,16101,0,0.00457129,0.00403666,0,37,37
178479,16101,0,0.00605387,0.00534584,0,49,49
178480,16101,0,0.22041018,0.19463234,0,1784,1784
178481,16101,0,0.01148999,0.01014619,0,93,93
178482,16101,0,0.00284161,0.00250927,0,23,23
178483,16101,0,0.00704225,0.00621863,0,57,57
178484,16034,0,0.00043773,0.00015304,0,18,18
178485,16034,0,0.00099706,0.00034858,0,41,41
178486,16034,0,0.00021887,0.0000765,0,9,9
178487,16034,0,0.00126456,0.0004421,0,52,52
178488,16099,0,0.00088843,0.00073597,0,12,12
178489,16099,0,0.00673725,0.00558111,0,91,91
178490,16034,0,0.00024319,0.000085,0,10,10
178491,16034,0,0.00012159,0.0000425,0,5,5
178492,16047,0,0.00073761,0.00055039,0,11,11
178493,16047,0,0.03178435,0.0237166,0,474,474
178494,16047,0,0.0113324,0.00845592,0,169,169
178495,16047,0,0.05498558,0.04102872,0,820,820
178496,16112,0,0.00889039,0.00371623,0,578,578
178497,16112,0,0.00018458,0.0000772,0,12,12
178498,16112,0.00077331,0.02997816,0.01298109,70,1949,2019
178499,16112,0.03625718,0.00984403,0.02521635,3282,640,3922
178500,16112,0.06543305,0.02162611,0.04712153,5923,1406,7329
178501,16112,0.04488511,0.00524502,0.02831535,4063,341,4404
178502,16112,0.0146266,0.00944412,0.0124603,1324,614,1938
178506,15111,0,0.03319303,0.02892536,0,1380,1380
178507,15111,0,0.04767288,0.04154352,0,1982,1982
178508,15111,0.04988588,0.02482261,0.02804502,306,1032,1338
178509,15111,0,0.11473241,0.09998114,0,4770,4770
178510,15111,0,0.03605532,0.03141965,0,1499,1499
178511,15114,0,0.00855956,0.00821244,0,775,775
178512,15114,0,0.01423649,0.01365915,0,1289,1289
178513,15114,0,0.0279097,0.02677786,0,2527,2527
178514,15114,0,0.01914029,0.01836408,0,1733,1733
178515,15114,0,0.03381856,0.0324471,0,3062,3062
178517,15005,0,0.03489055,0.02092067,0,3089,3089
178518,15005,0,0.01478528,0.00886538,0,1309,1309
178519,15005,0,0.00240586,0.00144257,0,213,213
178520,15005,0,0.02281609,0.01368072,0,2020,2020
178521,15005,0,0.06164863,0.03696505,0,5458,5458
178522,15106,0.004035,0.02755307,0.00579095,3060,1686,4746
178523,15106,0.00147818,0.03717867,0.00414371,1121,2275,3396
178524,15106,0.0034258,0.05409292,0.00720879,2598,3310,5908
178525,15067,0.03422334,0.05334806,0.04375144,1342,2077,3419
178526,15067,0.04600515,0.04140446,0.04371305,1804,1612,3416
178527,15067,0.12585112,0.01803098,0.07213421,4935,702,5637
178528,15051,0,0.01282144,0.0052746,0,711,711
178529,15051,0,0.097919,0.0402828,0,5430,5430
178530,15051,0.00078142,0.17874274,0.07399275,62,9912,9974
178531,15051,0,0.24793523,0.10199782,0,13749,13749
178532,15051,0,0.000018033,0.00000742,0,1,1
178533,15037,0.00048142,0,0.0004212,102,0,102
178534,15037,0.01297463,0.00498481,0.01197521,2749,151,2900
178535,15037,0.01655221,0.04763634,0.02044044,3507,1443,4950
178536,15037,0.0583646,0.13828734,0.06836192,12366,4189,16555
178537,9004,0.00952443,0,0.00937814,1748,0,1748
178538,9004,0.10180463,0,0.10024089,18684,0,18684
178539,9010,0.08772005,0,0.0876754,63743,0,63743
178540,9010,0.15427901,0,0.15420049,112109,0,112109
