GRIDCODE,CVENTMUN,Suma de Fa,
289981,32038,0.003007487,
289982,24021,0.007980804,
289982,32038,0.000946008,
289983,24021,0.012085449,
289984,24021,0.004658341,
289985,24021,0.014584055,
289986,24021,0.014280383,
289987,24021,0.010584832,
289989,24021,0.000812608,
289990,24021,0.009059315,
289991,24021,0.010134804,
289992,24021,0.025714116,
289993,24021,0.019040242,
289993,24028,0.009981033,
289994,24028,0.017462207,
289995,24028,0.018493955,
289995,24035,0.010488121,
289996,24028,0.001809004,
289996,24035,0.046037194,
289997,24035,0.073895851,
289998,24035,0.08190194,
289999,24035,0.018385712,
290002,24009,0.048086432,
290005,24004,7.77987E-05,
290006,24004,0.018321905,
290007,24004,0.005253156,
290009,24030,0.002239231,
290010,24030,0.014888984,
290011,24030,0.001337647,
290012,24030,0.011939847,
290013,24030,0.001373078,
290014,24030,0.004125942,
290015,24030,0.007468192,
290016,24030,0.001218077,
290016,24052,1.99232E-06,
290017,24030,0.005182574,
290017,24052,0.011310552,
290018,24052,0.006659683,
290019,24052,0.028256742,
290020,24052,0.031530685,
290021,24052,0.015257623,
290022,24052,0.011817139,
290023,24024,0.006188366,
290023,24052,0.000263413,
290024,24024,0.010183579,
290025,24024,0.000346355,
290028,24024,0.001376401,
290034,24010,0.003262699,
290035,24010,0.008579055,
290036,24010,0.002259936,
290038,24002,0.009950192,
290038,24010,0.002810473,
290039,24002,0.013469026,
290039,24010,0.005159668,
290040,24002,0.000201254,
290040,24010,0.00051956,
290041,24002,0.000682356,
290041,24010,0.003307146,
290042,24002,0.010102484,
290042,24010,0.003022357,
290043,24010,5.47246E-05,
290044,24010,2.12935E-05,
290045,24010,3.61794E-05,
290047,24036,0.000170394,
290048,24036,3.44484E-05,
290049,24036,0.001413168,
290050,24036,0.00039521,
290051,24036,0.001625424,
290051,24058,0.006066306,
290052,24013,0.001127517,
290052,24058,2.94647E-05,
290053,24013,0.008927765,
290054,24013,0.007583081,
290055,24013,0.007677144,
290056,24013,0.000112289,
290057,24013,0.004432426,
290058,24013,0.013116564,
290059,24013,0.003772077,
290060,24013,0.006628617,
290061,24013,0.000249161,
290062,24013,0.001882812,
290063,24013,0.001154773,
290066,24040,0.00065581,
290067,24040,0.001769035,
290068,24040,0.002282028,
290069,24040,0.000776055,
290070,24040,0.00030559,
290076,24016,0.00027674,
290076,24040,0.00091907,
290077,24016,0.001560233,
290077,24040,0.008400043,
290078,24016,0.005662999,
290078,24040,0.00343957,
290079,24016,0.013672807,
290080,24016,0.016486726,
290081,24016,0.016271414,
290082,24016,0.012306311,
290083,24016,0.000916936,
290084,24016,0.000491601,
290085,24016,3.32798E-05,
290085,30123,0.003302474,
290086,30123,0.005936899,
290087,30123,0.005864818,
290088,30123,0.005980599,
290089,30123,0.006029265,
290090,30123,0.005943927,
290091,30123,0.001255767,
290094,30123,0.00157677,
290095,30123,0.000155077,
290095,30133,5.03325E-05,
290096,30123,4.57818E-05,
290096,30133,0.149835953,
290097,30133,0.122918858,
290098,30133,0.060432321,
290102,30133,0.001459544,
290102,30152,0.000223331,
290103,30133,0.003031646,
290103,30152,0.007229703,
290953,14061,0.000196661,
290954,14061,0.003683924,
290958,14061,1.52693E-05,
290961,14061,0.000990303,
290962,32049,4.64033E-05,
290963,32049,0.000269755,
290964,32049,8.50547E-05,
290965,14061,0.000522882,
290968,14061,0.00621932,
290971,14061,0.000190932,
290971,32031,0.000200488,
290972,14061,0.000656702,
290972,32031,0.005843842,
290973,32031,0.008303369,
290974,32031,0.002287354,
290975,32031,0.014642574,
290976,32031,0.016082058,
290977,32031,0.013819481,
290978,32031,0.016469591,
290979,32031,0.006879001,
290980,32031,0.009079869,
290981,14025,0.018818018,
290981,32031,0.003281928,
290982,14025,0.02059807,
290982,32031,0.007867188,
290983,14025,0.000254944,
290983,14041,2.29712E-05,
290983,32031,0.001655425,
290984,14081,0.000646228,
290985,14081,0.045641781,
290986,14041,0.000141944,
290986,14081,0.030358236,
290987,14041,0.020447194,
290987,14081,0.050236845,
290988,14041,0.006976432,
290989,14041,0.011282975,
290990,14041,0.042141791,
290990,14081,0.046043953,
290990,32046,0.000168565,
290991,14081,0.007301782,
290991,32046,0.001595324,
290991,32055,0.000588318,
290992,32046,0.000835725,
290992,32055,0.002115586,
290993,32055,0.007896094,
290994,32055,0.014582826,
290995,32055,0.012866665,
290996,32055,0.008311063,
290997,32055,0.003233706,
290998,32055,0.003744651,
290999,32055,0.001339195,
291000,32055,0.000638314,
291001,32055,0.000137607,
291003,32055,0.00016881,
291004,32055,0.000145302,
291009,01008,0.000638203,
291010,01008,0.014787628,
291011,01008,0.020906605,
291012,01007,0.001033129,
291012,01008,0.008102112,
291013,01007,0.005703684,
291014,01007,0.016500632,
291015,01007,0.017418491,
291016,01007,0.031926658,
291017,01007,0.04909116,
291018,01007,0.050419379,
291018,01009,0.001469941,
291019,01007,0.000568785,
291019,01009,0.062821087,
291020,01009,0.06722014,
291021,01009,0.032734609,
291022,01009,0.000306314,
291023,01002,8.07589E-05,
291023,01009,0.000137844,
291024,01002,0.003489335,
291025,01002,0.014273792,
291026,01002,0.02318524,
291026,32024,0.003563136,
291027,01002,0.003302682,
291027,32024,0.034113292,
291028,32024,0.03037317,
291029,32024,0.005939701,
291030,32024,0.01591385,
291031,32024,0.02032569,
291032,32024,0.018936498,
291033,32024,0.035701097,
291034,32024,0.020935647,
291034,32038,0.000650908,
291035,32024,0.000102185,
291035,32038,0.003281924,
291036,32038,0.005936764,
291037,32038,0.006546541,
291038,32038,0.006988744,
291039,32038,0.004643141,
291040,32038,0.005680002,
291041,32038,0.006147926,
291042,32038,0.00161128,
291043,32038,0.000931193,
291046,32038,0.000102334,
291047,32038,0.002741053,
291048,24001,0.000203187,
291048,32038,0.002130211,
291049,24001,0.000316816,
291049,24021,0.003623834,
291049,32038,0.000228272,
291051,24021,0.002826495,
291052,24021,0.014933773,
291053,24021,0.03100613,
291054,24021,0.03050746,
291055,24021,0.01463727,
291056,24021,0.00415958,
291059,24021,0.006765617,
291060,24021,0.009446923,
291061,24021,0.032612406,
291061,24028,0.000467031,
291062,24021,0.004593908,
291062,24028,0.022494016,
291063,24028,0.022618275,
291064,24028,0.007278598,
291064,24035,0.020614278,
291065,24035,0.050833261,
291066,24035,0.07091725,
291067,24035,0.013690102,
291069,24009,0.007728513,
291069,24035,1.07637E-06,
291070,24004,0.000435256,
291070,24009,0.088963056,
291070,24035,3.91311E-05,
291072,24004,0.008352064,
291073,24004,0.008878095,
291074,24004,0.007233077,
291075,24004,0.000751333,
291076,24030,0.005595153,
291077,24030,0.019609273,
291079,24030,0.00551909,
291080,24030,0.02951662,
291081,24030,0.001533234,
291082,24030,0.00091442,
291084,24030,0.001510325,
291085,24030,0.004264287,
291086,24052,0.001080397,
291087,24052,0.020204492,
291088,24052,0.012630473,
291089,24052,0.008579601,
291090,24024,0.001877407,
291090,24052,0.005028396,
291091,24024,0.005923415,
291091,24052,1.43626E-05,
291092,24024,0.010136853,
291093,24024,0.002096317,
291096,24024,0.000635607,
291102,24010,0.000512907,
291103,24010,0.000232312,
291105,24010,0.013049401,
291106,24010,0.012027685,
291107,24010,0.000937881,
291108,24010,0.00037354,
291109,24010,0.001239415,
291110,24010,0.003578809,
291111,24010,3.17892E-05,
291112,24010,0.000449686,
291113,24010,3.0799E-05,
291115,24010,9.83952E-05,
291115,24036,2.75582E-05,
291117,24010,0.001043733,
291118,24010,0.000139537,
291119,24058,0.001219631,
291120,24013,0.001002082,
291121,24013,0.010684916,
291122,24013,0.006441575,
291123,24013,0.003675681,
291124,24013,1.97604E-06,
291125,24013,0.006068082,
291126,24013,0.010644438,
291127,24013,0.000662987,
291128,24013,0.008462457,
291129,24013,0.000620956,
291130,24013,0.001519144,
291131,24013,0.001539712,
291132,24013,5.84937E-06,
291134,24040,0.000206745,
291135,24040,0.001210399,
291136,24040,0.001366471,
291137,24040,0.000142829,
291138,24040,0.000147105,
291141,24016,0.000185855,
291142,24016,0.003481197,
291143,24016,0.008364742,
291144,24016,0.015195941,
291145,24016,0.015613798,
291146,24016,0.016355137,
291147,24016,0.016490813,
291148,24016,0.016210806,
291149,24016,0.016646433,
291150,24016,0.014404996,
291151,24016,0.007960485,
291152,24016,0.013670061,
291152,30123,0.000630779,
291153,24016,0.000741921,
291153,30123,0.005589876,
291154,30123,0.005836685,
291155,30123,0.005999324,
291156,30123,0.006026275,
291157,30123,0.006042421,
291158,30123,0.005962555,
291159,30123,0.002503603,
291164,30133,0.088244038,
291165,30133,0.03684093,
291166,30133,0.019363475,
291168,30133,0.001302756,
291169,30133,0.011164309,
291170,30133,0.004521453,
292021,14061,0.000205977,
292023,14061,0.00973099,
292024,14061,0.008887909,
292025,14061,0.000368182,
292026,14061,0.007816672,
292027,14061,0.002574718,
292028,14061,0.000411953,
292030,32049,5.8725E-05,
292031,32049,0.000228129,
292032,14061,4.38023E-06,
292032,32049,0.00031592,
292034,14061,6.3377E-05,
292036,14061,0.022759994,
292039,14061,0.001756247,
292040,14061,0.000232428,
292040,32031,0.000604684,
292041,14061,0.000113537,
292041,32031,0.007407367,
292042,32031,0.001949212,
292043,32031,0.006872629,
292044,32031,0.008260374,
292045,32031,0.013102632,
292046,32031,0.015214736,
292047,32031,0.006729874,
292048,32031,0.00904883,
292049,14041,7.35146E-05,
292049,32031,0.012634024,
292050,14041,0.000153969,
292050,32031,0.013879189,
292051,14041,0.000172206,
292051,32031,0.000399027,
292052,14041,0.011954909,
292052,14081,0.002900026,
292053,14041,0.037521521,
292053,14081,0.070706406,
292053,32046,7.50396E-05,
292054,14041,0.019440257,
292054,14081,0.002257517,
292054,32046,0.000895858,
292055,14041,0.045170717,
292055,14081,0.000916722,
292056,14041,0.05631572,
292057,14041,0.025316852,
292058,14041,0.021116164,
292058,32046,0.005347044,
292059,32046,0.008485247,
292059,32055,0.000163372,
292060,32046,0.001505675,
292060,32055,0.002461733,
292061,32055,0.005395983,
292062,32055,0.01576297,
292063,32055,0.014503686,
292064,32055,0.008698283,
292065,32055,0.005076023,
292066,32055,0.001581011,
292067,32055,0.007767536,
292068,32055,0.009016317,
292069,32055,0.002789967,
292070,32055,0.000254185,
292071,32055,1.74242E-05,
292072,32055,9.6123E-06,
292077,01008,0.001792836,
292078,01008,0.006232237,
292079,01008,0.012737835,
292080,01007,0.006657932,
292080,01008,0.009502927,
292081,01007,0.006037877,
292082,01007,0.002654893,
292083,01007,0.044080675,
292084,01007,0.031084292,
292085,01004,0.001595118,
292085,01007,0.049525409,
292086,01004,0.017337526,
292086,01007,0.042101817,
292086,01009,0.000340462,
292087,01007,0.005261335,
292087,01009,0.0552489,
292088,01009,0.065746286,
292089,01009,0.041414915,
292090,01009,0.001059171,
292091,01002,0.000107,
292091,01009,4.77362E-05,
292091,32024,0.000151661,
292092,01002,0.002458233,
292092,32024,0.003787193,
292093,01002,0.024682394,
292094,01002,0.016281164,
292094,32024,0.010753561,
292095,32024,0.033857424,
292096,32024,0.026439035,
292097,32024,0.011208483,
292098,32024,0.009662751,
292099,32024,0.012995786,
292100,32024,0.028177741,
292101,32024,0.037534558,
292102,32024,0.02442134,
292102,32038,0.002103702,
292103,32038,0.00703196,
292104,32038,0.004641898,
292105,32038,0.003533334,
292106,32038,0.007204975,
292107,32038,0.00411877,
292108,32038,0.006200198,
292109,32038,0.004620514,
292110,32038,0.001959906,
292111,32038,0.00043634,
292115,32038,0.000289512,
292116,24001,0.000295729,
292116,32038,7.69351E-05,
292117,24001,0.00312829,
292118,24001,0.000134244,
292118,24021,0.007034958,
292120,24021,0.011264315,
292121,24021,0.033716161,
292122,24021,0.002599959,
292123,24021,0.004688389,
292124,24021,0.005423218,
292125,24021,0.009168575,
292126,24021,0.000993456,
292127,24021,0.005991643,
292128,24021,0.026625494,
292129,24021,0.035037901,
292129,24028,0.000852594,
292130,24021,0.003290253,
292130,24028,0.024219416,
292131,24028,0.025253444,
292132,24028,0.004190939,
292132,24035,0.000288476,
292133,24028,1.48382E-05,
292133,24035,0.046304535,
292134,24035,0.072430905,
292135,24035,0.011957425,
292138,24004,0.009331637,
292138,24009,0.003785008,
292140,24004,0.01951229,
292141,24004,0.037796052,
292142,24004,0.044976873,
292143,24004,0.04706283,
292144,24004,0.012004767,
292144,24030,0.006783966,
292145,24004,0.000134921,
292145,24030,0.007021209,
292146,24030,0.001463822,
292149,24008,2.95706E-05,
292149,24030,0.00019771,
292150,24008,0.000537202,
292150,24030,0.000569052,
292154,24052,3.59932E-06,
292155,24052,0.007429581,
292156,24052,0.015367948,
292157,24052,0.005839344,
292158,24052,0.009988341,
292159,24024,0.000995231,
292159,24052,4.77341E-05,
292160,24024,0.006391921,
292161,24024,0.008628933,
292163,24024,0.001371103,
292170,24010,0.000376179,
292171,24010,3.0424E-05,
292172,24010,0.003300667,
292173,24010,0.011420659,
292174,24010,0.00495535,
292175,24010,0.003438279,
292176,24010,0.003229493,
292177,24010,0.004018458,
292178,24010,0.000753479,
292179,24010,0.000232371,
292180,24010,0.000518712,
292181,24010,1.67441E-05,
292182,24010,0.000669078,
292183,24010,0.000351597,
292184,24010,0.005020282,
292185,24010,0.000588646,
292186,24010,0.000156466,
292187,24058,0.000469451,
292188,24013,0.006213037,
292189,24013,0.013483343,
292190,24013,0.008669932,
292191,24013,0.000919133,
292192,24013,0.000184416,
292193,24013,0.006560841,
292194,24013,0.006144686,
292195,24013,0.001641921,
292196,24013,0.009701752,
292197,24013,0.004429424,
292198,24013,0.002466999,
292199,24013,0.002231542,
292200,24013,1.57519E-06,
292202,24040,6.10268E-05,
292203,24040,0.000799759,
292204,24040,0.000401734,
292205,24040,0.000592894,
292206,24040,0.000133086,
292209,24016,0.001033259,
292209,24040,1.80714E-05,
292210,24016,0.016564687,
292211,24016,0.01662808,
292212,24016,0.016449933,
292213,24016,0.016689577,
292214,24016,0.016629584,
292215,24016,0.015635738,
292216,24016,0.01656981,
292217,24016,0.016685367,
292218,24016,0.016850612,
292219,24016,0.010840969,
292219,30123,0.000586108,
292220,24016,0.009059527,
292220,30123,0.002245575,
292221,24016,0.000811578,
292221,30123,0.005655311,
292222,30123,0.005907744,
292223,30123,0.005991914,
292224,30123,0.006010478,
292225,30123,0.006012957,
292226,30123,0.00598282,
292227,30123,0.002307743,
292232,30133,2.047E-05,
292233,30133,0.000903723,
292234,30133,0.000253311,
292235,28038,0.002472987,
292235,30123,9.38843E-05,
292236,28038,0.04393047,
292236,30133,0.000532091,
292237,28038,0.036139022,
292237,30133,0.002663603,
292238,30133,0.003044147,
293091,14061,0.001362197,
293092,14061,0.006362389,
293093,14061,7.54603E-05,
293094,14061,0.016180023,
293095,14061,0.015264826,
293097,14061,0.001165832,
293098,14061,0.000697139,
293098,32049,0.000632005,
293099,32049,0.000518299,
293100,32049,0.000614121,
293101,32049,0.000122088,
293102,14061,0.003982987,
293103,14061,0.004630958,
293104,14061,0.028744403,
293105,14061,0.004129114,
293106,14061,0.005139812,
293107,14061,0.001243769,
293107,32031,0.000136016,
293108,14061,9.34856E-05,
293108,32031,0.002596638,
293109,32031,0.006627436,
293110,32031,0.005993337,
293111,32031,0.00576982,
293112,32031,0.013404947,
293113,32031,0.010270916,
293114,32031,0.008188736,
293115,32031,0.006957299,
293116,32031,0.012690374,
293117,14041,0.026809687,
293117,32031,0.009592252,
293118,14041,0.02172327,
293118,32031,0.007962815,
293119,14041,0.011039194,
293119,32031,0.001706484,
293120,14041,0.051283282,
293121,14041,0.035072408,
293122,14041,0.006108476,
293122,32046,0.007551371,
293123,14041,0.002470374,
293123,32046,0.003776168,
293124,14041,0.031743693,
293124,32046,0.00556942,
293125,14041,0.004993722,
293125,32046,0.001826128,
293126,32046,0.006528372,
293127,32046,0.009267827,
293127,32055,0.00018011,
293128,32046,0.000258189,
293128,32055,0.002466515,
293129,32055,0.002318751,
293130,32055,0.006504003,
293131,32055,0.015589798,
293132,32055,0.013916581,
293133,32055,0.012683176,
293134,32055,0.002183493,
293135,32055,0.005646059,
293136,32055,0.007596436,
293137,32055,0.002705423,
293138,32055,0.000256266,
293146,01008,0.00217167,
293146,32012,0.000907039,
293147,01008,0.009212003,
293147,32012,0.00589774,
293148,01007,0.001643576,
293148,01008,0.000837136,
293149,01007,0.001747442,
293150,01007,0.000375215,
293151,01007,0.004632976,
293152,01004,0.001081797,
293152,01007,0.018169675,
293153,01004,0.065504486,
293153,01007,0.014637141,
293154,01004,0.10270863,
293154,01007,0.001313241,
293155,01004,0.022920303,
293155,01007,0.029777887,
293155,01009,0.008106962,
293156,01007,0.018026242,
293156,01009,0.043935987,
293157,01007,0.000219448,
293157,01009,0.060907709,
293158,01009,0.004454994,
293158,32024,0.000251142,
293159,32024,0.009214613,
293160,01002,0.001236479,
293160,32024,0.030874658,
293161,01002,0.00832721,
293161,32024,0.026189061,
293162,01002,0.002245047,
293162,32024,0.034692073,
293163,32024,0.040890657,
293164,32024,0.038452227,
293165,32024,0.010497194,
293167,32024,0.002427813,
293168,32024,0.007448609,
293168,32035,0.002212367,
293169,32024,0.008324772,
293169,32035,0.026790047,
293170,32024,0.009744806,
293170,32035,0.026995889,
293170,32038,0.000477536,
293171,32035,0.010917435,
293171,32038,0.002003107,
293171,32054,0.018718386,
293172,32038,0.001086373,
293172,32054,0.03589396,
293173,32038,0.001726248,
293173,32054,0.012856601,
293174,32038,0.005513726,
293174,32054,0.000416854,
293175,32038,0.004937921,
293176,32038,0.002735909,
293177,32038,0.001341939,
293178,32038,1.58098E-05,
293181,32038,0.000379763,
293182,32038,0.000303427,
293183,24001,0.000756612,
293183,32038,0.000105986,
293184,24001,0.012020984,
293185,24001,0.013228168,
293186,24001,7.18207E-05,
293186,24021,0.000187262,
293188,24001,0.002191508,
293188,24021,0.002150461,
293189,24001,4.62446E-05,
293189,24021,0.011334711,
293190,24021,0.006166245,
293191,24021,0.001591346,
293192,24021,0.005181154,
293193,24021,0.004547366,
293194,24021,0.001688061,
293195,24021,0.002955453,
293196,24021,0.01612662,
293197,24021,0.035220487,
293198,24021,0.020540887,
293198,24028,0.011477312,
293199,24021,0.000934076,
293199,24028,0.022426348,
293200,24028,0.000559373,
293201,24028,2.3033E-05,
293201,24035,0.00157869,
293202,24035,0.002632151,
293203,24035,0.009013981,
293205,24004,0.002226282,
293206,24004,0.005826886,
293207,24004,0.000727135,
293208,24004,0.00878259,
293209,24004,0.064945458,
293210,24004,0.043170461,
293211,24004,0.040124761,
293212,24004,0.002314795,
293213,24004,0.002652871,
293214,24004,0.000349904,
293214,24030,0.005150547,
293215,24030,0.001670924,
293216,24008,7.88537E-05,
293217,24008,5.96892E-05,
293218,24008,0.001034406,
293219,24008,0.00023446,
293219,24030,0.000962538,
293220,24008,8.35352E-06,
293222,24052,0.00447494,
293223,24052,0.013440669,
293224,24052,0.027711783,
293225,24052,0.031811893,
293226,24052,0.01282314,
293228,24024,0.004815248,
293228,24052,0.000554333,
293229,24024,0.007525947,
293229,24052,0.00028468,
293230,24024,0.001705328,
293238,24010,0.002081488,
293239,24010,0.000708043,
293240,24010,0.002452052,
293241,24010,1.05097E-06,
293242,24010,0.000930681,
293243,24010,0.004950949,
293244,24010,0.001935816,
293245,24010,0.000409992,
293246,24010,0.000652279,
293247,24010,0.006703443,
293248,24010,0.000150693,
293250,24010,0.000540533,
293251,24010,0.000441768,
293252,24010,0.004537391,
293253,24010,0.000577376,
293254,24010,0.000563233,
293254,24058,0.000417648,
293256,24013,0.002348702,
