GRIDCODE,CVENTMUN,Furb,Frural,FpoT,PobUrb,PobR,PubU+R,PoT
12437,frac,,,,,,,
293306,28009,0.143337882,,0.143337882,29518,,29518,205933
293307,30133,,0.100087032,0.100087032,,575,575,5745
293307,28009,0.001451929,,0.001451929,299,,299,205933
294157,14061,,0.001697182,0.001697182,,33,33,19444
294159,14061,,5.14297E-05,5.14297E-05,,1,1,19444
294160,14061,,0.006685867,0.006685867,,130,130,19444
294161,14061,,0.001337173,0.001337173,,26,26,19444
294162,14061,,0.030292121,0.030292121,,589,589,19444
294164,14042,,0.000983768,0.000983768,,4,4,4066
294170,14061,,0.000205719,0.000205719,,4,4,19444
294172,14061,,0.012806007,0.012806007,,249,249,19444
294174,14061,,0.001285744,0.001285744,,25,25,19444
294177,32031,,0.001127142,0.001127142,,5,5,4436
294178,32031,0.016246762,0.002254283,0.009098238,69,10,79,8683
294179,32031,,0.00135257,0.00135257,,6,6,4436
294180,32031,,0.000676285,0.000676285,,3,3,4436
294181,32031,,0.009918846,0.009918846,,44,44,4436
294182,32031,,0.027051398,0.027051398,,120,120,4436
294183,32031,,0.000225428,0.000225428,,1,1,4436
294184,32031,,0.000676285,0.000676285,,3,3,4436
294185,14041,,0.00463392,0.00463392,,10,10,2158
294186,14041,,0.008341057,0.008341057,,18,18,2158
294187,14041,,0.056533828,0.056533828,,122,122,2158
294188,14041,,0.126506024,0.126506024,,273,273,2158
294189,14041,,0.018999073,0.018999073,,41,41,2158
294190,14041,,0.010658017,0.010658017,,23,23,2158
294192,32046,,0.070098137,0.070098137,,350,350,4993
294193,32046,,0.001802524,0.001802524,,9,9,4993
294199,32055,,0.038266581,0.038266581,,536,536,14007
294200,32055,,0.000142786,0.000142786,,2,2,14007
294201,32055,0.00518489,0.000713929,0.003200456,91,10,101,31558
294204,32055,,7.13929E-05,7.13929E-05,,1,1,14007
294213,32012,,0.000148368,0.000148368,,1,1,6740
294214,32012,,0.002967359,0.002967359,,20,20,6740
294215,32012,,0.000445104,0.000445104,,3,3,6740
294221,01004,0.307538044,0.052328992,0.179588235,2607,446,3053,17000
294222,01004,,0.003519887,0.003519887,,30,30,8523
294223,01007,0.02149805,0.001958533,0.01645488,915,29,944,57369
294224,01007,,0.003309246,0.003309246,,49,49,14807
294227,32024,,0.020688527,0.020688527,,506,506,24458
294229,32024,,0.010017172,0.010017172,,245,245,24458
294230,32024,,0.064109903,0.064109903,,1568,1568,24458
294231,32024,,0.003148254,0.003148254,,77,77,24458
294232,32024,,0.000899501,0.000899501,,22,22,24458
294235,32035,,0.038836939,0.038836939,,569,569,14651
294236,32035,,0.07118968,0.07118968,,1043,1043,14651
294237,32035,,0.084362842,0.084362842,,1236,1236,14651
294238,32035,,0.011466794,0.011466794,,168,168,14651
294239,32035,,0.072964303,0.072964303,,1069,1069,14651
294240,32054,,0.00890716,0.00890716,,130,130,14595
294241,32054,0.022675737,0.000890716,0.006325208,110,13,123,19446
294242,32054,,0.000274066,0.000274066,,4,4,14595
294243,32038,,0.013002607,0.013002607,,823,823,63295
294243,32054,,0.002535115,0.002535115,,37,37,14595
294245,32038,,0.00033178,0.00033178,,21,21,63295
294246,32038,,3.15981E-05,3.15981E-05,,2,2,63295
294249,32038,,0.001216526,0.001216526,,77,77,63295
294250,32038,,0.001548306,0.001548306,,98,98,63295
294253,24001,,0.002331512,0.002331512,,32,32,13725
294256,24001,,0.107832423,0.107832423,,1480,1480,13725
294256,24021,,0.009460525,0.009460525,,504,504,53274
294257,24001,,0.056757741,0.056757741,,779,779,13725
294258,24001,,0.019817851,0.019817851,,272,272,13725
294258,24021,,0.019578031,0.019578031,,1043,1043,53274
294259,24021,,0.023369749,0.023369749,,1245,1245,53274
294260,24021,,0.020328866,0.020328866,,1083,1083,53274
294261,24021,,0.00063821,0.00063821,,34,34,53274
294264,24021,,0.011544093,0.011544093,,615,615,53274
294265,24021,,0.024045501,0.024045501,,1281,1281,53274
294267,24028,,0.031326864,0.031326864,,1159,1159,36997
294268,24028,,0.003648945,0.003648945,,135,135,36997
294272,24035,,0.000326824,0.000326824,,4,4,12239
294275,24004,,0.013761468,0.013761468,,51,51,3706
