GRIDCODE,CVENTMUN,Furb,Frural,FpoT,PobUrb,PobR,PubU+R,PoT
12437,frac,,,,,,,
315643,24017,,0.019365903,0.019365903,,463,463,23908
315650,24017,,0.033294295,0.033294295,,796,796,23908
315654,24017,,0.025305337,0.025305337,,605,605,23908
315661,28039,,0.007419,0.007419,,128,128,17253
315665,28039,,0.019996522,0.019996522,,345,345,17253
315669,28039,,0.007650843,0.007650843,,132,132,17253
315670,28039,,0.000173883,0.000173883,,3,3,17253
315676,28029,,0.028704422,0.028704422,,222,222,7734
315677,28029,,0.006982157,0.006982157,,54,54,7734
315678,28029,,0.012800621,0.012800621,,99,99,7734
315679,28029,,0.047711404,0.047711404,,369,369,7734
315680,28029,,0.035298681,0.035298681,,273,273,7734
315681,28029,0.012280059,0.002068787,0.006292646,67,16,83,13190
315682,28029,0.822214076,0.005689165,0.343442002,4486,44,4530,13190
315685,28029,,0.007111456,0.007111456,,55,55,7734
315686,28029,,0.00168089,0.00168089,,13,13,7734
315687,28029,,0.118567365,0.118567365,,917,917,7734
315688,28029,,0.001810189,0.001810189,,14,14,7734
315690,28011,,0.000380807,0.000380807,,2,2,5252
315690,28021,,0.008419044,0.008419044,,203,203,24112
315691,28011,,0.061881188,0.061881188,,325,325,5252
315692,28011,,0.020753998,0.020753998,,109,109,5252
315692,28021,0.001475034,,0.001475034,121,,121,82032
315693,28011,,0.054265042,0.054265042,,285,285,5252
315693,28021,0.000889897,,0.000889897,73,,73,82032
315693,28043,,0.001038961,0.001038961,,10,10,9625
315694,28043,,0.004363636,0.004363636,,42,42,9625
315696,28043,,0.000519481,0.000519481,,5,5,9625
315698,28012,,0.000848356,0.000848356,,12,12,14145
315699,28012,,0.000141393,0.000141393,,2,2,14145
315700,28012,,0.001484624,0.001484624,,21,21,14145
315701,28012,,0.000141393,0.000141393,,2,2,14145
315702,28012,,7.06964E-05,7.06964E-05,,1,1,14145
315703,28012,,0.043266172,0.043266172,,612,612,14145
315704,28012,,7.06964E-05,7.06964E-05,,1,1,14145
315707,28012,,0.02156239,0.02156239,,305,305,14145
315711,28012,,0.001201838,0.001201838,,17,17,14145
315712,28012,0.078170174,0.000353482,0.051627683,2136,5,2141,41470
315713,28012,0.282927722,0.000565571,0.186616831,7731,8,7739,41470
315714,28012,,0.000919053,0.000919053,,13,13,14145
315715,28012,,0.004453871,0.004453871,,63,63,14145
315717,28002,,0.020498923,0.020498923,,295,295,14391
315721,28002,,0.000208464,0.000208464,,3,3,14391
315722,28002,,0.000138976,0.000138976,,2,2,14391
315724,28002,,0.054339518,0.054339518,,782,782,14391
315728,28002,,6.94879E-05,6.94879E-05,,1,1,14391
315729,28002,,0.000555903,0.000555903,,8,8,14391
315730,28002,,0.000208464,0.000208464,,3,3,14391
315731,28002,,0.007435203,0.007435203,,107,107,14391
315732,28002,,0.000138976,0.000138976,,2,2,14391
315733,28002,,0.000138976,0.000138976,,2,2,14391
315734,28002,,6.94879E-05,6.94879E-05,,1,1,14391
316587,32049,,0.00227706,0.00227706,,43,43,18884
316594,32049,,0.000317729,0.000317729,,6,6,18884
316608,32049,,0.00010591,0.00010591,,2,2,18884
316609,32049,,0.054172845,0.054172845,,1023,1023,18884
316613,32049,,0.007731413,0.007731413,,146,146,18884
316615,32049,,0.001641601,0.001641601,,31,31,18884
316617,32049,,0.000158865,0.000158865,,3,3,18884
316619,32010,,4.332E-05,4.332E-05,,3,3,69252
316620,32010,,0.000635361,0.000635361,,44,44,69252
316621,32010,,0.001444002,0.001444002,,100,100,69252
316622,32020,,7.25795E-05,7.25795E-05,,1,1,13778
316625,32020,,0.073377849,0.073377849,,1011,1011,13778
316627,32020,,0.014443315,0.014443315,,199,199,13778
316630,32005,,0.073744437,0.073744437,,116,116,1573
316631,32005,,0.001271456,0.001271456,,2,2,1573
316634,32005,,0.006993007,0.006993007,,11,11,1573
316635,32005,,0.011443102,0.011443102,,18,18,1573
316635,32032,,0.004268293,0.004268293,,7,7,1640
316636,32005,,0.005721551,0.005721551,,9,9,1573
316637,32032,,0.004878049,0.004878049,,8,8,1640
316637,32037,,0.000521444,0.000521444,,4,4,7671
316639,32037,,0.06987355,0.06987355,,536,536,7671
316645,32017,,0.163401417,0.163401417,,2352,2352,14394
316645,32050,,0.528148683,0.528148683,,2927,2927,5542
316646,32017,,0.026747256,0.026747256,,385,385,14394
316647,32017,,0.00041684,0.00041684,,6,6,14394
316663,24049,,8.25832E-05,8.25832E-05,,1,1,12109
316665,24049,,0.00024775,0.00024775,,3,3,12109
316670,24049,,0.035345611,0.035345611,,428,428,12109
316683,24045,,0.004229143,0.004229143,,33,33,7803
316684,24045,,0.001922338,0.001922338,,15,15,7803
316685,24045,,0.016660259,0.016660259,,130,130,7803
316686,24045,,0.007433039,0.007433039,,58,58,7803
316687,24045,,0.004229143,0.004229143,,33,33,7803
316688,24045,,0.017813661,0.017813661,,139,139,7803
316689,24045,,0.036780725,0.036780725,,287,287,7803
316690,24045,,0.005767013,0.005767013,,45,45,7803
316691,24045,,0.068435217,0.068435217,,534,534,7803
316692,24045,,0.023452518,0.023452518,,183,183,7803
316705,24051,,0.003475871,0.003475871,,43,43,12371
316708,24051,,0.035243715,0.035243715,,436,436,12371
316710,24017,,0.004224527,0.004224527,,101,101,23908
316712,24017,,4.1827E-05,4.1827E-05,,1,1,23908
316716,24017,,0.001380291,0.001380291,,33,33,23908
316729,28039,,0.007592882,0.007592882,,131,131,17253
316737,28039,,0.016402944,0.016402944,,283,283,17253
316740,28039,,0.009041906,0.009041906,,156,156,17253
316742,28039,,0.004636875,0.004636875,,80,80,17253
316744,28029,,0.013964313,0.013964313,,108,108,7734
316745,28029,,0.000387898,0.000387898,,3,3,7734
316746,28029,,0.042151539,0.042151539,,326,326,7734
316747,28029,,0.000646496,0.000646496,,5,5,7734
316748,28029,,0.032971296,0.032971296,,255,255,7734
316750,28029,,0.000258598,0.000258598,,2,2,7734
316753,28029,,0.012412723,0.012412723,,96,96,7734
316755,28029,,0.012800621,0.012800621,,99,99,7734
316756,28029,,0.000387898,0.000387898,,3,3,7734
316757,28011,,0.064927647,0.064927647,,341,341,5252
316760,28011,0.582674572,0.000761615,0.213923745,1769,4,1773,8288
316761,28011,0.07740448,0.000761615,0.028836873,235,4,239,8288
316761,28043,,0.007168831,0.007168831,,69,69,9625
316762,28043,,0.028363636,0.028363636,,273,273,9625
316764,28043,,0.003324675,0.003324675,,32,32,9625
316765,28012,,0.000848356,0.000848356,,12,12,14145
316766,28012,,0.000212089,0.000212089,,3,3,14145
316767,28012,,0.000141393,0.000141393,,2,2,14145
316769,28012,,0.000141393,0.000141393,,2,2,14145
316770,28012,,0.006150583,0.006150583,,87,87,14145
316776,28012,,7.06964E-05,7.06964E-05,,1,1,14145
316780,28012,,7.06964E-05,7.06964E-05,,1,1,14145
316781,28012,,0.000353482,0.000353482,,5,5,14145
316782,28012,,0.000141393,0.000141393,,2,2,14145
316786,28002,,0.01306372,0.01306372,,188,188,14391
316787,28002,,0.031547495,0.031547495,,454,454,14391
316788,28002,,0.000277951,0.000277951,,4,4,14391
316789,28002,,6.94879E-05,6.94879E-05,,1,1,14391
316794,28002,,0.000486415,0.000486415,,7,7,14391
316795,28002,,6.94879E-05,6.94879E-05,,1,1,14391
316796,28002,,0.000625391,0.000625391,,9,9,14391
316797,28002,,0.000347439,0.000347439,,5,5,14391
316799,28002,,0.025710514,0.025710514,,370,370,14391
316800,28002,,6.94879E-05,6.94879E-05,,1,1,14391
317656,32049,,0.005983902,0.005983902,,113,113,18884
317659,32049,,0.008843465,0.008843465,,167,167,18884
317676,32049,,0.009584834,0.009584834,,181,181,18884
317677,32049,,0.00010591,0.00010591,,2,2,18884
317682,32049,,0.000264774,0.000264774,,5,5,18884
317684,32049,,0.010961661,0.010961661,,207,207,18884
317689,32010,,0.010497892,0.010497892,,727,727,69252
317690,32010,,8.66401E-05,8.66401E-05,,6,6,69252
317696,32010,,0.002180442,0.002180442,,151,151,69252
317700,32005,,0.350286078,0.350286078,,551,551,1573
317702,32005,,0.015893198,0.015893198,,25,25,1573
317703,32005,0.155863848,0.010807374,0.150877423,6887,17,6904,45759
317704,32005,0.026365817,0.006993007,0.025699862,1165,11,1176,45759
317705,32005,,0.010171647,0.010171647,,16,16,1573
317705,32032,,0.003658537,0.003658537,,6,6,1640
317707,32037,,0.042888802,0.042888802,,329,329,7671
317708,32037,0.050979205,0.000782167,0.029072083,505,6,511,17577
317709,32037,,0.001564333,0.001564333,,12,12,7671
317710,32037,0.111447608,0.000391083,0.062980031,1104,3,1107,17577
317711,32037,0.221380981,0.001303611,0.125334244,2193,10,2203,17577
317712,32037,,0.000260722,0.000260722,,2,2,7671
317713,32017,,0.002014728,0.002014728,,29,29,14394
317713,32050,,0.007037171,0.007037171,,39,39,5542
317714,32017,,0.000277894,0.000277894,,4,4,14394
317715,32017,,0.002987356,0.002987356,,43,43,14394
317718,32017,,0.002292622,0.002292622,,33,33,14394
317730,24049,,0.010488067,0.010488067,,127,127,12109
317731,24049,,0.000330333,0.000330333,,4,4,12109
317749,24045,,0.003332052,0.003332052,,26,26,7803
317751,24045,,0.025887479,0.025887479,,202,202,7803
317752,24045,,0.006279636,0.006279636,,49,49,7803
317753,24045,,0.003460208,0.003460208,,27,27,7803
317754,24045,,0.00307574,0.00307574,,24,24,7803
317755,24045,,0.00153787,0.00153787,,12,12,7803
317757,24045,,0.01294374,0.01294374,,101,101,7803
317758,24045,0.88660924,0.002178649,0.40019735,5661,17,5678,14188
317759,24045,0.028974158,0.031141869,0.030166338,185,243,428,14188
317760,24045,,0.004998078,0.004998078,,39,39,7803
317761,24045,,0.001922338,0.001922338,,15,15,7803
317763,24045,,0.035114699,0.035114699,,274,274,7803
317765,24045,,0.000512623,0.000512623,,4,4,7803
317772,24051,,0.000161668,0.000161668,,2,2,12371
317773,24051,,0.021097729,0.021097729,,261,261,12371
317779,24017,,0.067466957,0.067466957,,1613,1613,23908
317782,24017,,0.025723607,0.025723607,,615,615,23908
317784,24017,,0.029069767,0.029069767,,695,695,23908
317788,24017,,0.010122135,0.010122135,,242,242,23908
317798,28039,,0.003999304,0.003999304,,69,69,17253
317801,28039,,0.010780734,0.010780734,,186,186,17253
317805,28039,,0.003303773,0.003303773,,57,57,17253
317806,28039,,0.000579609,0.000579609,,10,10,17253
317808,28039,,0.009563554,0.009563554,,165,165,17253
317810,28039,,0.001333101,0.001333101,,23,23,17253
317812,28029,,0.004008275,0.004008275,,31,31,7734
317813,28029,,0.040212051,0.040212051,,311,311,7734
317814,28029,,0.00323248,0.00323248,,25,25,7734
317815,28029,,0.006852858,0.006852858,,53,53,7734
317816,28029,,0.047064908,0.047064908,,364,364,7734
317818,28029,,0.034522886,0.034522886,,267,267,7734
317823,28029,,0.010343936,0.010343936,,80,80,7734
317826,28011,,0.036557502,0.036557502,,192,192,5252
317827,28011,,0.002475248,0.002475248,,13,13,5252
317828,28011,0.054677207,0.004950495,0.023166023,166,26,192,8288
317829,28011,0.003952569,0.000380807,0.001689189,12,2,14,8288
317829,28043,,0.011012987,0.011012987,,106,106,9625
317830,28043,,0.03387013,0.03387013,,326,326,9625
317831,28043,,0.004467532,0.004467532,,43,43,9625
317834,28043,,0.000935065,0.000935065,,9,9,9625
317837,28012,,7.06964E-05,7.06964E-05,,1,1,14145
317842,28012,,0.005726405,0.005726405,,81,81,14145
317845,28012,,0.000424178,0.000424178,,6,6,14145
317846,28012,,0.000212089,0.000212089,,3,3,14145
317849,28012,,0.000282785,0.000282785,,4,4,14145
317850,28012,,0.000848356,0.000848356,,12,12,14145
317851,28012,,0.000282785,0.000282785,,4,4,14145
317852,28002,,6.94879E-05,6.94879E-05,,1,1,14391
317853,28002,,0.010353693,0.010353693,,149,149,14391
317856,28002,,0.00423876,0.00423876,,61,61,14391
317857,28002,,0.010492669,0.010492669,,151,151,14391
317858,28002,,0.000555903,0.000555903,,8,8,14391
317859,28002,,0.000833854,0.000833854,,12,12,14391
317861,28002,,0.012855257,0.012855257,,185,185,14391
317862,28002,,0.000138976,0.000138976,,2,2,14391
317863,28002,,6.94879E-05,6.94879E-05,,1,1,14391
317864,28002,,6.94879E-05,6.94879E-05,,1,1,14391
317865,28002,,6.94879E-05,6.94879E-05,,1,1,14391
317866,28002,,0.003613369,0.003613369,,52,52,14391
317869,28002,,6.94879E-05,6.94879E-05,,1,1,14391
317870,28002,,0.000138976,0.000138976,,2,2,14391
318722,32049,,0.000370684,0.000370684,,7,7,18884
318727,32049,,0.016098284,0.016098284,,304,304,18884
318745,32049,,0.014615548,0.014615548,,276,276,18884
318751,32049,,0.000317729,0.000317729,,6,6,18884
318752,32049,,0.001853421,0.001853421,,35,35,18884
318754,32010,,0.001487322,0.001487322,,103,103,69252
318764,32010,,0.002267083,0.002267083,,157,157,69252
318769,32005,,0.000635728,0.000635728,,1,1,1573
318770,32005,0.008147377,0.006357279,0.008085841,360,10,370,45759
318771,32005,0.493414204,0.004450095,0.476605695,21802,7,21809,45759
318772,32005,0.180577559,0.022886205,0.1751568,7979,36,8015,45759
318773,32005,,0.073744437,0.073744437,,116,116,1573
318774,32005,,0.008264463,0.008264463,,13,13,1573
318774,32037,,0.000521444,0.000521444,,4,4,7671
318775,32037,0.000403796,0.000912528,0.000625818,4,7,11,17577
318776,32037,0.46163941,,0.46163941,4573,,4573,9906
318777,32037,,0.003389389,0.003389389,,26,26,7671
318778,32037,0.008075914,,0.008075914,80,,80,9906
318779,32037,0.027256208,,0.027256208,270,,270,9906
318789,24049,,0.031629367,0.031629367,,383,383,12109
318793,24049,,8.25832E-05,8.25832E-05,,1,1,12109
318797,24049,,0.025435626,0.025435626,,308,308,12109
318798,24049,,0.003881411,0.003881411,,47,47,12109
318799,24049,,0.003716244,0.003716244,,45,45,12109
318800,24049,,0.000412916,0.000412916,,5,5,12109
318818,24045,,0.004100987,0.004100987,,32,32,7803
318819,24045,,0.005254389,0.005254389,,41,41,7803
318820,24045,,0.013968986,0.013968986,,109,109,7803
318821,24045,,0.009355376,0.009355376,,73,73,7803
318822,24045,,0.044213764,0.044213764,,345,345,7803
318823,24045,,0.026912726,0.026912726,,210,210,7803
318824,24045,,0.02063309,0.02063309,,161,161,7803
318825,24045,,0.068435217,0.068435217,,534,534,7803
318826,24045,0.084416601,0.029988466,0.054482661,539,234,773,14188
318827,24045,,0.034345764,0.034345764,,268,268,7803
318828,24045,,0.074714853,0.074714853,,583,583,7803
318829,24045,,0.003332052,0.003332052,,26,26,7803
318830,24045,,0.009483532,0.009483532,,74,74,7803
318831,24045,,0.000128156,0.000128156,,1,1,7803
318833,24045,,0.004869922,0.004869922,,38,38,7803
318847,24017,,0.028358708,0.028358708,,678,678,23908
318859,24017,,0.012673582,0.012673582,,303,303,23908
318869,28039,,0.026430186,0.026430186,,456,456,17253
318871,28039,,0.040108967,0.040108967,,692,692,17253
318873,28039,,0.001159219,0.001159219,,20,20,17253
318880,28029,,0.000129299,0.000129299,,1,1,7734
318880,28039,,0.000927375,0.000927375,,16,16,17253
318882,28029,,0.004008275,0.004008275,,31,31,7734
318884,28029,,0.000129299,0.000129299,,1,1,7734
318890,28029,,0.000129299,0.000129299,,1,1,7734
318893,28011,,0.092155369,0.092155369,,484,484,5252
318894,28011,,0.001523229,0.001523229,,8,8,5252
318895,28011,,0.000952018,0.000952018,,5,5,5252
318896,28011,,0.001523229,0.001523229,,8,8,5252
318897,28011,,0.033701447,0.033701447,,177,177,5252
318897,28043,,0.027116883,0.027116883,,261,261,9625
318898,28043,,0.016,0.016,,154,154,9625
318899,28043,,0.017246753,0.017246753,,166,166,9625
318900,28043,,0.008935065,0.008935065,,86,86,9625
318902,28043,,0.000103896,0.000103896,,1,1,9625
318911,28012,,0.005514316,0.005514316,,78,78,14145
318913,28012,,0.012089077,0.012089077,,171,171,14145
318917,28012,,0.000424178,0.000424178,,6,6,14145
318919,28012,,0.016613644,0.016613644,,235,235,14145
318920,28002,,6.94879E-05,6.94879E-05,,1,1,14391
318926,28002,,0.019387117,0.019387117,,279,279,14391
318927,28002,,0.030157737,0.030157737,,434,434,14391
318928,28002,0.083926329,0.002432076,0.043098346,1203,35,1238,28725
318929,28002,0.540672527,0.00132027,0.270461271,7750,19,7769,28725
318930,28002,,0.000764367,0.000764367,,11,11,14391
318933,28002,,0.021402265,0.021402265,,308,308,14391
318936,28002,,0.000347439,0.000347439,,5,5,14391
318937,28002,,6.94879E-05,6.94879E-05,,1,1,14391
318938,28002,,0.000138976,0.000138976,,2,2,14391
319793,32049,,5.29549E-05,5.29549E-05,,1,1,18884
319814,32049,,0.023300148,0.023300148,,440,440,18884
319820,32049,,0.001906376,0.001906376,,36,36,18884
319823,32010,,7.22001E-05,7.22001E-05,,5,5,69252
319833,32013,,0.077212806,0.077212806,,164,164,2124
319835,32005,,0.001271456,0.001271456,,2,2,1573
319835,32013,,0.229755179,0.229755179,,488,488,2124
319836,32013,,0.002354049,0.002354049,,5,5,2124
319837,32013,,0.002354049,0.002354049,,5,5,2124
319838,32013,0.61659292,0.008474576,0.42218543,2787,18,2805,6644
319839,32013,,0.001883239,0.001883239,,4,4,2124
319840,32005,,0.020343293,0.020343293,,32,32,1573
319841,32005,,0.01525747,0.01525747,,24,24,1573
319842,32005,,0.022886205,0.022886205,,36,36,1573
319842,32037,,0.000782167,0.000782167,,6,6,7671
319843,32037,,0.000782167,0.000782167,,6,6,7671
319844,32037,,0.034024247,0.034024247,,261,261,7671
319845,32037,,0.012645027,0.012645027,,97,97,7671
319847,32037,,0.087602659,0.087602659,,672,672,7671
319851,32037,,0.000521444,0.000521444,,4,4,7671
319852,32037,,0.0023465,0.0023465,,18,18,7671
319853,32017,,0.024663054,0.024663054,,355,355,14394
319857,24049,0.067884323,,0.067884323,1784,,1784,26280
319858,24049,0.028196347,,0.028196347,741,,741,26280
319861,24049,,0.000165166,0.000165166,,2,2,12109
319862,24049,,0.000165166,0.000165166,,2,2,12109
319867,24049,,0.041374184,0.041374184,,501,501,12109
319868,24049,,0.009166735,0.009166735,,111,111,12109
319883,24015,,0.017929063,0.017929063,,138,138,7697
319887,24045,,0.001409714,0.001409714,,11,11,7803
319889,24045,,0.015122389,0.015122389,,118,118,7803
319894,24045,,0.028706908,0.028706908,,224,224,7803
319895,24045,,0.003972831,0.003972831,,31,31,7803
319896,24045,,0.00615148,0.00615148,,48,48,7803
319897,24045,,0.003588363,0.003588363,,28,28,7803
319898,24045,,0.000256312,0.000256312,,2,2,7803
319899,24045,,0.008714597,0.008714597,,68,68,7803
319925,24017,,0.000167308,0.000167308,,4,4,23908
319929,28039,,0.05709152,0.05709152,,985,985,17253
319938,28039,,0.012925288,0.012925288,,223,223,17253
319939,28039,,0.000173883,0.000173883,,3,3,17253
319940,28039,0.033160244,0.000811453,0.013390011,364,14,378,28230
319941,28039,0.000910996,,0.000910996,10,,10,10977
319944,28039,,5.79609E-05,5.79609E-05,,1,1,17253
319949,28029,,0.001163693,0.001163693,,9,9,7734
319951,28029,,0.000258598,0.000258598,,2,2,7734
319961,28011,,0.050266565,0.050266565,,264,264,5252
319962,28011,,0.008187357,0.008187357,,43,43,5252
319963,28011,,0.077494288,0.077494288,,407,407,5252
319964,28011,,0.024942879,0.024942879,,131,131,5252
319965,28011,,0.04950495,0.04950495,,260,260,5252
319965,28043,,0.089558442,0.089558442,,862,862,9625
319966,28043,0.07323072,0.001038961,0.041972198,923,10,933,22229
319967,28043,0.107426214,0.021090909,0.070043637,1354,203,1557,22229
319968,28043,,0.008623377,0.008623377,,83,83,9625
319969,28043,,0.000935065,0.000935065,,9,9,9625
319986,28012,,7.06964E-05,7.06964E-05,,1,1,14145
319988,28002,,0.000138976,0.000138976,,2,2,14391
319989,28002,,0.01243833,0.01243833,,179,179,14391
319993,28002,,0.004030297,0.004030297,,58,58,14391
319995,28002,,0.000555903,0.000555903,,8,8,14391
319996,28002,0.023580299,0.002779515,0.013159269,338,40,378,28725
319997,28002,0.351820846,0.001181294,0.176153177,5043,17,5060,28725
319999,28002,,0.01306372,0.01306372,,188,188,14391
320000,28002,,0.000416927,0.000416927,,6,6,14391
320001,28002,,0.000138976,0.000138976,,2,2,14391
320004,28002,,0.000833854,0.000833854,,12,12,14391
320859,32021,,0.003437739,0.003437739,,9,9,2618
320860,32049,,0.000158865,0.000158865,,3,3,18884
320861,32049,,0.001270917,0.001270917,,24,24,18884
320867,32049,,5.29549E-05,5.29549E-05,,1,1,18884
320874,32049,,5.29549E-05,5.29549E-05,,1,1,18884
320882,32049,,0.004871849,0.004871849,,92,92,18884
320883,32049,,0.00010591,0.00010591,,2,2,18884
320889,32010,,0.002209322,0.002209322,,153,153,69252
320890,32010,,0.008375209,0.008375209,,580,580,69252
320897,32010,,0.000678681,0.000678681,,47,47,69252
320900,32010,,0.00027436,0.00027436,,19,19,69252
320905,32013,,0.088512241,0.088512241,,188,188,2124
320906,32013,0.38340708,0.008003766,0.263395545,1733,17,1750,6644
320907,32013,,0.009887006,0.009887006,,21,21,2124
320908,32005,,0.021614749,0.021614749,,34,34,1573
320909,32005,,0.034965035,0.034965035,,55,55,1573
320910,32005,,0.023521933,0.023521933,,37,37,1573
320910,32037,,0.092034937,0.092034937,,706,706,7671
320911,32037,,0.0023465,0.0023465,,18,18,7671
320912,32037,,0.000651806,0.000651806,,5,5,7671
320913,32037,,0.005344805,0.005344805,,41,41,7671
320914,32037,,0.000260722,0.000260722,,2,2,7671
320918,32037,,0.153043932,0.153043932,,1174,1174,7671
320919,32037,,0.003128666,0.003128666,,24,24,7671
320920,32037,,0.007430583,0.007430583,,57,57,7671
320921,32037,,0.005605527,0.005605527,,43,43,7671
320922,32037,,0.000651806,0.000651806,,5,5,7671
320925,24049,0.132115677,0.000412916,0.09057282,3472,5,3477,38389
320926,24049,0.014649924,,0.014649924,385,,385,26280
320929,24049,,0.030142869,0.030142869,,365,365,12109
320930,24049,0.021347032,,0.021347032,561,,561,26280
320933,24049,,0.015608225,0.015608225,,189,189,12109
320934,24049,,0.058303741,0.058303741,,706,706,12109
320954,24045,,0.001794182,0.001794182,,14,14,7803
320955,24045,,0.005638857,0.005638857,,44,44,7803
320959,24045,,0.024862232,0.024862232,,194,194,7803
320961,24045,,0.000256312,0.000256312,,2,2,7803
320962,24015,,0.000259841,0.000259841,,2,2,7697
320962,24045,,0.018454441,0.018454441,,144,144,7803
320963,24045,,0.003203896,0.003203896,,25,25,7803
320965,24045,,0.000256312,0.000256312,,2,2,7803
320968,24045,,0.038318595,0.038318595,,299,299,7803
320971,24047,,0.014103182,0.014103182,,117,117,8296
320981,24047,,0.06364513,0.06364513,,528,528,8296
320982,24047,,0.00012054,0.00012054,,1,1,8296
320983,24017,,0.046177012,0.046177012,,1104,1104,23908
320990,24017,,0.024887067,0.024887067,,595,595,23908
321003,28039,,0.018373616,0.018373616,,317,317,17253
321004,28039,,0.050310091,0.050310091,,868,868,17253
321006,28039,,0.01860546,0.01860546,,321,321,17253
321007,28039,,0.000115922,0.000115922,,2,2,17253
321008,28039,0.07242416,0.00121718,0.02890542,795,21,816,28230
321009,28039,0.801220734,,0.801220734,8795,,8795,10977
321010,28039,0.035346634,5.79609E-05,0.013779667,388,1,389,28230
321011,28039,,0.031182983,0.031182983,,538,538,17253
321012,28039,,0.007071234,0.007071234,,122,122,17253
321017,28029,,0.00168089,0.00168089,,13,13,7734
321019,28029,,0.002456685,0.002456685,,19,19,7734
321021,28029,,0.000129299,0.000129299,,1,1,7734
321029,28011,,0.079588728,0.079588728,,418,418,5252
321031,28011,,0.017517136,0.017517136,,92,92,5252
321032,28011,,0.000952018,0.000952018,,5,5,5252
321033,28011,,0.008758568,0.008758568,,46,46,5252
321034,28043,,0.04987013,0.04987013,,480,480,9625
321035,28043,0.446842272,0.021922078,0.262854829,5632,211,5843,22229
321036,28043,0.008013329,0.007688312,0.007872599,101,74,175,22229
321037,28043,,0.018909091,0.018909091,,182,182,9625
321044,28012,,7.06964E-05,7.06964E-05,,1,1,14145
321046,28012,,0.000212089,0.000212089,,3,3,14145
321056,28002,,0.000347439,0.000347439,,5,5,14391
321058,28002,,0.000138976,0.000138976,,2,2,14391
321061,28002,,0.000138976,0.000138976,,2,2,14391
321064,28002,,0.027725662,0.027725662,,399,399,14391
321065,28002,,0.001181294,0.001181294,,17,17,14391
321068,28002,,6.94879E-05,6.94879E-05,,1,1,14391
321069,28002,,0.01438399,0.01438399,,207,207,14391
321070,28002,,0.000694879,0.000694879,,10,10,14391
321071,28002,,0.000764367,0.000764367,,11,11,14391
321072,28002,,0.000208464,0.000208464,,3,3,14391
321073,28002,,0.016468626,0.016468626,,237,237,14391
321074,28002,,0.000764367,0.000764367,,11,11,14391
321931,32049,,0.006036857,0.006036857,,114,114,18884
321939,32049,,0.00010591,0.00010591,,2,2,18884
321948,32049,,5.29549E-05,5.29549E-05,,1,1,18884
321950,32049,,0.000794323,0.000794323,,15,15,18884
321954,32049,,0.000158865,0.000158865,,3,3,18884
321957,32010,,0.004678565,0.004678565,,324,324,69252
321959,32010,,0.000938601,0.000938601,,65,65,69252
321960,32010,,0.0004332,0.0004332,,30,30,69252
321961,32010,,0.004837405,0.004837405,,335,335,69252
321969,32010,,0.002902443,0.002902443,,201,201,69252
321973,32013,,0.52306968,0.52306968,,1111,1111,2124
321974,32013,,0.020244821,0.020244821,,43,43,2124
321975,32013,,0.014595104,0.014595104,,31,31,2124
321976,32005,0.013601593,0.036872219,0.014401538,601,58,659,45759
321977,32005,,0.057215512,0.057215512,,90,90,1573
321978,32037,,0.000912528,0.000912528,,7,7,7671
321979,32005,,0.001907184,0.001907184,,3,3,1573
321979,32037,,0.007430583,0.007430583,,57,57,7671
321981,32037,,0.001564333,0.001564333,,12,12,7671
321982,32037,,0.003128666,0.003128666,,24,24,7671
321983,32037,,0.000651806,0.000651806,,5,5,7671
321984,32037,,0.00117325,0.00117325,,9,9,7671
321985,32037,,0.00117325,0.00117325,,9,9,7671
321987,32037,,0.00117325,0.00117325,,9,9,7671
321987,32051,,0.001401495,0.001401495,,21,21,14984
321988,32037,,0.004823361,0.004823361,,37,37,7671
321988,32051,,0.001668446,0.001668446,,25,25,14984
321989,32037,,0.013948638,0.013948638,,107,107,7671
321989,32051,,0.000333689,0.000333689,,5,5,14984
321990,32037,,0.011602138,0.011602138,,89,89,7671
321991,32037,,0.000521444,0.000521444,,4,4,7671
321992,24049,,0.001734247,0.001734247,,21,21,12109
321995,24049,,0.000908415,0.000908415,,11,11,12109
321998,24049,0.077321157,,0.077321157,2032,,2032,26280
321999,24049,0,,0,0,,0,26280
322002,24049,,0.003055578,0.003055578,,37,37,12109
322004,24049,,0.002394913,0.002394913,,29,29,12109
322008,24049,,0.18077463,0.18077463,,2189,2189,12109
322015,24025,,0.000239597,0.000239597,,3,3,12521
322023,24045,,0.000512623,0.000512623,,4,4,7803
322024,24045,,0.004229143,0.004229143,,33,33,7803
322025,24045,,0.000256312,0.000256312,,2,2,7803
322026,24015,,0.001429128,0.001429128,,11,11,7697
322028,24015,,0.000259841,0.000259841,,2,2,7697
322029,24015,,0.001169287,0.001169287,,9,9,7697
322030,24015,,0.014161362,0.014161362,,109,109,7697
322030,24045,,0.001409714,0.001409714,,11,11,7803
322032,24015,,0.023385735,0.023385735,,180,180,7697
322050,24047,,0.0012054,0.0012054,,10,10,8296
322051,24017,,0.000250962,0.000250962,,6,6,23908
322051,24047,,0.00012054,0.00012054,,1,1,8296
322056,24017,,0.01116781,0.01116781,,267,267,23908
322073,28039,,0.007476961,0.007476961,,129,129,17253
322077,28039,0.048373873,0.000405727,0.01905774,531,7,538,28230
322078,28039,0.00847226,,0.00847226,93,,93,10977
322080,28039,,0.009157828,0.009157828,,158,158,17253
