GRIDCODE,CVENTMUN,Fb,
289022,30123,0.023394852,
289023,30123,0.010009044,
289024,30123,0.016207185,
289025,30123,0.027429967,
289026,30123,0.020286193,
289026,30133,0.004221767,
289027,30123,0.027328236,
289027,30133,0.061400457,
289028,30123,0.00229402,
289028,30133,0.140351948,
289029,30133,0.108226199,
289030,30133,0.248397451,
289031,30133,0.144627944,
289033,30133,0.014061859,
289033,30152,0.027192521,
289034,30133,0.003009121,
289034,30152,0.054837794,
289035,30152,0.067597679,
289036,30152,0.077612271,
289885,14061,0.010744428,
289886,14061,0.009661826,
289887,14061,0.012181005,
289888,14061,0.011979869,
289889,14061,0.009921294,
289890,14061,0.010286292,
289891,14061,0.008889943,
289892,14061,0.009329719,
289893,14061,0.009636858,
289894,14061,0.008852258,
289895,14061,0.003193536,
289895,32049,0.005100877,
289896,14061,0.004163939,
289896,32049,0.003986919,
289897,14061,0.010339843,
289898,14061,0.011303076,
289899,14061,0.011243927,
289900,14061,0.248071916,
289901,14061,0.026254654,
289902,14061,0.027129558,
289903,14061,0.007650307,
289903,32031,0.014173628,
289904,32031,0.023358534,
289905,32031,0.023158981,
289906,32031,0.018449474,
289907,32031,0.038173199,
289908,32031,0.032778619,
289909,32031,0.008176546,
289910,32031,0.014044984,
289911,14025,0.001929704,
289911,32031,0.052558235,
289912,14025,0.031560117,
289912,32031,0.015077626,
289913,14025,0.04444913,
289914,14025,0.066060959,
289915,14025,0.105810625,
289915,14081,0.017835578,
289916,14025,0.011911029,
289916,14081,0.288928392,
289917,14081,0.065459785,
289918,14081,0.174830202,
289919,14041,0.005324596,
289919,14081,0.046386275,
289920,14041,0.148316818,
289920,14081,0.025531165,
289921,14041,0.102213489,
289921,14081,0.09088964,
289922,14041,6.80257E-05,
289922,14081,0.277995462,
289923,14081,1.113844154,
289923,32055,0.026977947,
289924,32055,0.025359042,
289925,32055,0.014998236,
289926,32055,0.009099866,
289927,32055,0.011360051,
289928,32055,0.012222483,
289929,32055,0.022534484,
289930,32055,0.031300159,
289931,32055,0.027299859,
289932,32055,0.030712806,
289933,32055,0.03513561,
289934,32055,0.035089019,
289935,32055,0.033595456,
289936,32055,0.032415836,
289937,01008,0.021189068,
289937,32055,0.038951489,
289938,01008,0.069940019,
289939,01008,0.057167606,
289940,01008,0.038060929,
289941,01008,0.034326224,
289942,01008,0.030132554,
289943,01008,0.037957648,
289944,01007,0.007189801,
289944,01008,0.036577114,
289945,01007,0.053264746,
289945,01008,0.079101574,
289946,01007,0.001116019,
289946,01008,0.137052925,
289947,01007,0.240945241,
289947,01008,0.08575226,
289948,01007,0.109008386,
289952,01009,0.003316377,
289953,01009,0.215928201,
289954,01002,0.010734712,
289954,01009,0.257443364,
289955,01002,0.328457982,
289955,01009,0.0762463,
289956,01002,0.510466596,
289957,01002,0.084125219,
289958,01002,0.01040889,
289959,01002,0.002724961,
289959,32024,0.000242684,
289959,32052,0.017551179,
289960,32024,0.112931291,
289960,32052,0.080028424,
289961,32024,0.039659543,
289961,32052,0.070844721,
289962,32024,0.032651926,
289962,32052,0.042853872,
289963,32024,0.552802662,
289963,32052,0.096122485,
289964,32024,0.143106281,
289965,32024,0.203731112,
289965,32038,0.001161342,
289966,32024,0.000288751,
289966,32038,0.046621232,
289967,32038,0.054015774,
289968,32038,0.000143045,
289970,32038,0.000156364,
289971,32038,0.000254831,
289972,32038,0.001687061,
289973,32038,0.004706605,
289974,32038,0.003868196,
289975,32038,0.0083874,
289976,32038,0.06429412,
289977,32038,0.12643137,
289978,32038,0.011342397,
289979,32038,0.010356643,
289980,32038,0.007850757,
289981,24021,0.000682649,
289981,32038,0.005237191,
289982,24021,0.017693484,
289982,32038,0.001205995,
289983,24021,0.023106146,
289984,24021,0.029052615,
289985,24021,0.022296066,
289986,24021,0.020677865,
289987,24021,0.028971912,
289988,24021,0.097843697,
289989,24021,0.065095704,
289990,24021,0.042000395,
289991,24021,0.024598672,
289992,24021,0.006955994,
289995,24028,0.001105249,
289996,24028,0.000548378,
289996,24035,0.007165969,
289997,24035,0.006012381,
289998,24035,0.002676437,
289999,24035,0.088721395,
290000,24009,0.048778431,
290000,24035,0.302469931,
290001,24009,0.175192386,
290001,24035,0.007339337,
290002,24009,0.334958311,
290003,24004,0.026629261,
290003,24009,0.683762375,
290004,24004,0.058525616,
290005,24004,0.062651397,
290006,24004,0.050434953,
290007,24004,0.056568358,
290008,24004,0.039979442,
290008,24030,0.01974103,
290009,24030,0.053766128,
290010,24030,0.096833834,
290011,24030,0.060025388,
290012,24030,0.067292967,
290013,24030,0.055495455,
290014,24030,0.044012741,
290015,24030,0.045283564,
290016,24030,0.038487218,
290016,24052,0.004490255,
290017,24030,0.003918559,
290017,24052,0.060761483,
290018,24052,0.072064341,
290019,24052,0.034727796,
290020,24052,0.106857892,
290021,24052,0.110509101,
290022,24024,5.88452E-05,
290022,24052,0.077065238,
290023,24024,0.00919574,
290023,24052,0.1024671,
290024,24024,0.005057123,
290025,24024,0.039099196,
290026,24024,0.032713257,
290027,24024,0.023400943,
290028,24024,0.025476125,
290029,24024,0.019480773,
290030,24024,0.030430959,
290031,24024,0.036981617,
290032,24010,0.006615446,
290032,24024,0.008307818,
290033,24010,0.015939923,
290033,24024,0.000171697,
290034,24010,0.061167791,
290035,24010,0.028591843,
290036,24002,6.53526E-05,
290036,24010,0.006778426,
290037,24002,0.018754946,
290037,24010,0.00390393,
290038,24002,0.029873597,
290038,24010,0.001129541,
290039,24002,0.004632309,
290039,24010,0.004753837,
290040,24002,0.018560986,
290040,24010,0.003786562,
290041,24002,0.001767535,
290041,24010,0.007640234,
290042,24002,0.065673235,
290042,24010,0.012416336,
290043,24002,0.033229108,
290043,24010,0.009162319,
290044,24002,0.006961842,
290044,24010,0.01518722,
290044,24036,0.002324173,
290045,24010,0.012187381,
290045,24036,0.006955149,
290046,24010,0.004356702,
290046,24036,0.021322296,
290047,24036,0.022901015,
290048,24036,0.019837799,
290049,24036,0.030681465,
290050,24036,0.031275428,
290051,24036,0.009875122,
290051,24058,0.071704051,
290052,24013,0.013250482,
290052,24058,0.102601056,
290053,24013,0.004244491,
290054,24013,0.01352828,
290055,24013,0.00654775,
290056,24013,0.012585492,
290057,24013,0.012035164,
290058,24013,0.010167501,
290059,24013,0.009370196,
290060,24013,0.006352197,
290061,24013,0.007473757,
290062,24013,0.013725747,
290063,24013,0.012563463,
290064,24013,0.00759996,
290065,24013,0.006898494,
290065,24040,0.007990971,
290066,24040,0.029835451,
290067,24040,0.009539435,
290068,24040,0.009646934,
290069,24040,0.010032293,
290070,24040,0.011186922,
290071,24040,0.007446443,
290072,24040,0.008727692,
290073,24040,0.011057184,
290074,24040,0.009508622,
290075,24016,0.001145619,
290075,24040,0.039196607,
290076,24016,0.029352501,
290076,24040,0.006286158,
290077,24016,0.039937901,
290077,24040,0.001713361,
290078,24016,0.02896919,
290078,24040,0.003616586,
290082,24016,0.121372661,
290083,24016,0.270379852,
290083,30123,0.000567397,
290084,24016,0.179935831,
290084,30123,0.015648293,
290085,24016,0.002501076,
290085,30123,0.014667125,
290087,30123,0.101286738,
290091,30123,0.035321346,
290092,30123,0.057903789,
290093,30123,0.03357553,
290094,30123,0.025532866,
290095,30123,0.045535986,
290096,30123,0.005500334,
290096,30133,0.032956704,
290097,30133,0.083248668,
290098,30133,0.144393123,
290101,30133,0.106570927,
290102,30133,0.172441407,
290102,30152,2.60292E-06,
290103,30133,0.313325897,
290103,30152,0.060598785,
290104,30152,9.7866E-05,
290953,14061,0.010685362,
290954,14061,0.008919567,
290955,14061,0.009556673,
290956,14061,0.014689081,
290957,14061,0.012310994,
290958,14061,0.00962957,
290959,14061,0.009375659,
290960,14061,0.009631292,
290961,14061,0.008651013,
290962,14061,0.006674335,
290962,32049,0.001728545,
290963,14061,0.000262186,
290963,32049,0.007255791,
290964,14061,0.003075797,
290964,32049,0.005424369,
290965,14061,0.02031865,
290966,14061,0.019339442,
290967,14061,0.011067595,
290968,14061,0.138390325,
290969,14061,0.014225558,
290970,14061,0.017884413,
290971,14061,0.011924856,
290971,32031,0.003607434,
290972,14061,0.003162035,
290972,32031,0.031149674,
290973,32031,0.028359299,
290974,32031,0.043304742,
290975,32031,0.112336355,
290976,32031,0.070452779,
290977,32031,0.034071102,
290978,32031,0.025953083,
290979,32031,0.141600795,
290980,14025,0.000893436,
290980,32031,0.024431059,
290981,14025,0.008636605,
290981,32031,0.007867002,
290982,14025,0.004027617,
290982,32031,0.007828099,
290983,14025,0.024358138,
290983,14041,0.016652834,
290983,14081,0.122803773,
290983,32031,0.002716304,
290984,14041,0.0002214,
290984,14081,0.307284768,
290985,14081,0.14897762,
290986,14041,7.76779E-05,
290986,14081,0.235038046,
290987,14041,0.068836877,
290987,14081,0.020994852,
290988,14041,0.244697457,
290989,14041,0.165786268,
290990,14041,0.005160029,
290990,14081,0.076989986,
290990,32046,0.000338314,
290991,14081,0.109924339,
290991,32046,0.033966242,
290991,32055,0.00381765,
290992,32046,0.004879735,
290992,32055,0.015960574,
290993,32055,0.009165948,
290994,32055,0.003343454,
290995,32055,0.00353193,
290996,32055,0.010960407,
290997,32055,0.026188206,
290998,32055,0.019010603,
290999,32055,0.019181528,
291000,32055,0.025156712,
291001,32055,0.027735958,
291002,32055,0.030380561,
291003,32055,0.025978651,
291004,01008,0.006559291,
291004,32055,0.029289971,
291005,01008,0.066668811,
291005,32055,0.002751135,
291006,01008,0.110010529,
291007,01008,0.110338908,
291008,01008,0.033054822,
291009,01008,0.031024267,
291010,01008,0.035654535,
291011,01008,0.027735383,
291012,01007,0.046621848,
291012,01008,0.025369612,
291013,01007,0.080545274,
291014,01007,0.084518697,
291015,01007,0.100387869,
291016,01007,0.055764161,
291019,01009,0.000453859,
291020,01009,0.003042459,
291021,01009,0.088586314,
291022,01002,0.000309759,
291022,01009,1.004108505,
291023,01002,0.988410378,
291023,01009,0.364761304,
291024,01002,0.117941952,
291025,01002,0.053681524,
291026,01002,3.96258E-05,
291027,32024,6.61848E-05,
291028,32024,0.039922798,
291029,32024,0.224285567,
291030,32024,0.096578057,
291031,32024,0.05523196,
291032,32024,0.061733591,
291033,32024,0.01334595,
291034,32024,0.01215054,
291034,32038,0.016977681,
291035,32024,0.000124713,
291035,32038,0.016346777,
291036,32038,0.00128917,
291037,32038,0.000841859,
291038,32038,0.000321534,
291039,32038,0.010687311,
291040,32038,0.008425518,
291041,32038,0.005356868,
291042,32038,0.023304439,
291043,32038,0.013592937,
291044,32038,0.019574592,
291045,32038,0.012508561,
291046,32038,0.010469116,
291047,32038,0.006607421,
291048,24001,0.000129541,
291048,32038,0.006535596,
291049,24001,0.003747863,
291049,24021,0.017760381,
291049,32038,0.003534163,
291050,24021,0.039995895,
291051,24021,0.03084109,
291052,24021,0.020846202,
291053,24021,0.008496289,
291054,24021,0.008126088,
291055,24021,0.021983067,
291056,24021,0.036340345,
291057,24021,0.104327093,
291058,24021,0.213796057,
291059,24021,0.07820756,
291060,24021,0.027194231,
291063,24028,0.000891293,
291064,24028,0.006155101,
291064,24035,0.004448494,
291065,24035,0.022263039,
291066,24035,0.009640924,
291067,24035,0.049932396,
291068,24035,0.402773225,
291069,24004,0.009127327,
291069,24009,0.062238991,
291069,24035,0.141809926,
291070,24004,0.00115822,
291070,24009,0.609315335,
291070,24035,0.002399237,
291071,24004,0.031292741,
291071,24009,0.551693711,
291072,24004,0.054929298,
291073,24004,0.063221014,
291074,24004,0.051372517,
291075,24004,0.048241958,
291075,24030,0.003997922,
291076,24004,0.00319987,
291076,24030,0.059908566,
291077,24030,0.284644482,
291078,24030,0.053719667,
291079,24030,0.056700994,
291080,24030,0.070004335,
291081,24008,0.000102466,
291081,24030,0.045071775,
291082,24008,0.006149237,
291082,24030,0.0245924,
291083,24030,0.030336189,
291084,24030,0.044235462,
291085,24030,0.028470057,
291085,24052,0.010485851,
291086,24030,0.002640199,
291086,24052,0.032702478,
291087,24052,0.075201976,
291088,24052,0.132133006,
291089,24052,0.13427572,
291090,24024,0.007892159,
291090,24052,0.06480866,
291091,24024,0.040411526,
291091,24052,6.83083E-06,
291092,24024,0.010939815,
291093,24024,0.013579483,
291094,24024,0.035406299,
291095,24024,0.022014393,
291096,24024,0.011323795,
291097,24024,0.020672179,
291098,24024,0.032001723,
291099,24024,0.030639,
291100,24010,0.053833641,
291100,24024,0.008338657,
291101,24010,0.039710327,
291102,24010,0.044618993,
291103,24010,0.008775111,
291104,24010,0.005140815,
291105,24010,0.003257837,
291106,24010,0.004180699,
291107,24010,0.004870842,
291108,24010,0.005152771,
291109,24010,0.011806565,
291110,24010,0.029442988,
291111,24010,0.021901338,
291112,24010,0.055002665,
291113,24010,0.016342558,
291114,24010,0.01429561,
291114,24036,1.47302E-05,
291115,24010,0.008845392,
291115,24036,0.00585898,
291116,24010,0.006553979,
291116,24036,0.008842234,
291117,24010,0.046015763,
291117,24036,0.003413617,
291118,24010,0.465235659,
291118,24036,0.003789337,
291119,24010,0.002964727,
291119,24013,0.000328405,
291119,24036,0.002122616,
291119,24058,0.074010853,
291120,24013,0.013523658,
291120,24058,0.003833561,
291121,24013,0.00314129,
291122,24013,0.006663933,
291123,24013,0.007781316,
291124,24013,0.009855113,
291125,24013,0.01412077,
291126,24013,0.006231336,
291127,24013,0.008055005,
291128,24013,0.004758799,
291129,24013,0.007749051,
291130,24013,0.014856884,
291131,24013,0.009466836,
291132,24013,0.007596998,
291133,24013,0.006227647,
291133,24040,0.01443577,
291134,24040,0.031229407,
291135,24040,0.036711221,
291136,24040,0.013551072,
291137,24040,0.007469598,
291138,24040,0.009298688,
291139,24040,0.021086292,
291140,24040,0.007645093,
291141,24016,0.010710378,
291141,24040,0.00900302,
291142,24016,0.049351615,
291142,24040,0.002546581,
291143,24016,0.222509149,
291143,24040,0.007360363,
291144,24016,0.166700832,
291145,24016,0.007864416,
291146,24016,0.001839258,
291148,24016,0.104654361,
291151,24016,0.041951291,
291152,24016,0.011755843,
291153,30123,0.00063531,
291154,30123,0.029405457,
291155,30123,0.039207373,
291158,30123,0.035939844,
291159,30123,0.022782323,
291160,30123,0.021212219,
291161,30123,0.000290335,
291162,30123,0.005915395,
291163,30123,0.044357558,
291164,30123,0.01198347,
291164,30133,0.045287058,
291165,30123,0.001186234,
291165,30133,0.134353763,
291166,30123,0.002709026,
291166,30133,0.125353205,
291167,30133,0.052637741,
291168,30133,0.043577056,
291169,30133,0.03486808,
291170,30133,0.128303803,
291171,30133,0.534276147,
292021,14061,0.015433939,
292022,14061,0.012382173,
292023,14061,0.008828125,
292024,14061,0.011819946,
292025,14061,0.010908863,
292026,14061,0.009056958,
292027,14061,0.009909163,
292028,14061,0.009452475,
292029,14061,0.009174067,
292030,14061,0.003413233,
292030,32049,0.005352938,
292031,32049,0.00756787,
292032,14061,0.002028025,
292032,32049,0.006160867,
292033,14061,0.014055033,
292033,32049,7.88691E-05,
292034,14061,0.014616181,
292035,14061,0.009012004,
292036,14061,0.006486956,
292037,14061,0.017726952,
292038,14061,0.018472579,
292039,14061,0.015607175,
292040,14061,0.009774292,
292040,32031,0.015434373,
292041,14061,0.000375873,
292041,32031,0.020052762,
292042,32031,0.021442584,
292043,32031,0.03337228,
292044,32031,0.043634448,
292045,32031,0.03517883,
292046,32031,0.044975082,
292047,32031,0.029626642,
292048,32031,0.014188876,
292049,14041,0.005988847,
292049,32031,0.007132368,
292050,14041,0.00228006,
292050,32031,0.007109205,
292051,14041,0.222855318,
292051,32031,0.001075082,
292052,14041,0.107417916,
292052,14081,0.124309295,
292053,14041,0.013959021,
292053,14081,0.052884396,
292053,32046,6.81025E-06,
292054,14041,0.11796813,
292054,14081,0.047168539,
292054,32046,0.015269198,
292055,14041,0.098781359,
292055,14081,0.000589126,
292056,14041,0.111389624,
292057,14041,0.187418606,
292058,14041,0.082997907,
292058,32046,0.008641902,
292059,32046,0.04689794,
292059,32055,0.000341131,
292060,32046,0.019638847,
292060,32055,0.008138118,
292061,32055,0.013138594,
292062,32055,0.001888935,
292063,32055,0.003411919,
292064,32055,0.01513651,
292065,32055,0.026559022,
292066,32055,0.021724665,
292067,32055,0.010356714,
292068,32055,0.006129689,
292069,32055,0.01491179,
292070,32055,0.035869167,
292071,32055,0.047154324,
292072,01008,0.009071133,
292072,32055,0.042360363,
292073,01008,0.069672246,
292074,01008,0.430124694,
292075,01008,0.290344129,
292076,01008,0.050750953,
292077,01008,0.043991943,
292078,01008,0.032799809,
292079,01008,0.030171365,
292080,01007,0.083339301,
292080,01008,0.006960403,
292081,01007,0.112674632,
292082,01007,0.193420769,
292083,01007,0.029075282,
292084,01007,0.064551763,
292085,01007,0.001061285,
292087,01009,0.001471547,
292088,01009,0.007945075,
292089,01009,0.108500681,
292090,01009,1.557468387,
292090,32024,0.004612062,
292091,01002,0.064428666,
292091,01009,0.263477751,
292091,32024,0.015327894,
292092,01002,0.093193105,
292092,32024,0.002615405,
292093,01002,0.002612603,
292095,32024,0.002149765,
292096,32024,0.042353159,
292097,32024,0.086987493,
292098,32024,0.076364677,
292099,32024,0.067027555,
292100,32024,0.027854514,
292101,32024,0.001727352,
292102,32024,0.010895763,
292102,32038,1.48432E-06,
292103,32038,0.000185825,
292104,32038,0.003436024,
292105,32038,0.004834952,
292106,32038,2.32065E-05,
292107,32038,0.003811004,
292108,32038,0.001371527,
292109,32038,0.07605604,
292110,32038,0.053805244,
292111,32038,0.013866591,
292112,32038,0.011677328,
292113,32038,0.011483557,
292114,32038,0.010712519,
292115,24001,0.004550308,
292115,32038,0.008891341,
292116,24001,0.044553979,
292116,32038,0.001867781,
292117,24001,0.047372566,
292117,24021,0.005087638,
292118,24001,0.004959715,
292118,24021,0.028896872,
292119,24021,0.034881111,
292120,24021,0.024967529,
292121,24021,0.003781101,
292122,24021,0.034935367,
292123,24021,0.059624461,
292124,24021,0.099696203,
292125,24021,0.058735274,
292126,24021,0.115232223,
292127,24021,0.030214663,
292128,24021,0.010033802,
292131,24028,0.000483203,
292132,24028,0.013225907,
292132,24035,0.001040315,
292133,24028,0.001456323,
292133,24035,0.021793352,
292134,24035,0.006792154,
292135,24035,0.054354424,
292136,24004,0.036361462,
292136,24035,0.032131283,
292137,24004,0.077761667,
292137,24035,0.06601021,
292138,24004,0.075814246,
292138,24009,0.010337048,
292138,24035,0.004222852,
292139,24004,0.06060249,
292139,24009,0.001320854,
292140,24004,0.070547297,
292141,24004,0.04879052,
292142,24004,0.039794307,
292143,24004,0.039642323,
292143,24030,0.001597685,
292144,24004,0.01849445,
292144,24030,0.123452881,
292145,24004,0.001980032,
292145,24030,0.082608451,
292146,24030,0.054336276,
292147,24030,0.048542485,
292148,24030,0.038830847,
292149,24008,0.024161991,
292149,24030,0.029823534,
292150,24008,0.045861077,
292150,24030,0.005146484,
292151,24008,0.001868717,
292151,24030,0.028301963,
292152,24030,0.037322469,
292153,24030,0.031652257,
292153,24052,0.003356352,
292154,24030,0.000218023,
292154,24052,0.038888809,
292155,24052,0.153392285,
292156,24052,0.134672024,
292157,24052,0.117611693,
292158,24024,0.000372462,
292158,24052,0.113062367,
292159,24024,0.008066388,
292159,24052,0.045330671,
292160,24024,0.024216164,
292161,24024,0.014950261,
292162,24024,0.036534871,
292163,24024,0.014186105,
292164,24024,0.013825855,
292165,24024,0.021937686,
292166,24024,0.031374442,
292167,24010,0.001453177,
292167,24024,0.051634983,
292168,24010,0.071984,
292168,24024,0.013453165,
292169,24010,0.131760795,
292170,24010,0.109993283,
292171,24010,0.020526175,
292172,24010,0.005471381,
292173,24010,0.003447439,
292174,24010,0.011769361,
292175,24010,0.003655978,
292176,24010,0.007639482,
292177,24010,0.013161388,
292178,24010,0.043982287,
292179,24010,0.030810614,
