GRIDCODE,CVENTMUN,Promedio de LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),Suma de CARRxCELLxCarril,
290991,14081,79337.47,3738.30,
290991,32046,133918.00,961.12,
290991,32055,531407.57,2206.96,
290992,32046,133918.00,616.48,
290992,32055,531407.57,5708.52,
290993,32055,531407.57,7548.53,
290994,32055,531407.57,6083.51,
290995,32055,531407.57,12573.10,
290998,32055,531407.57,1986.80,
290999,32055,531407.57,4978.68,
291013,01007,261181.98,206.17,
291014,01007,261181.98,6679.78,
291015,01007,261181.98,5595.13,
291016,01007,261181.98,14015.53,
291017,01007,261181.98,16774.05,
291018,01007,261181.98,7544.85,
291019,01009,193851.30,8812.48,
291020,01009,193851.30,1805.08,
291021,01009,193851.30,10472.59,
291022,01009,193851.30,113.88,
291024,01002,350750.68,2320.57,
291025,01002,350750.68,2136.20,
291026,01002,350750.68,6422.37,
291026,32024,235755.15,2045.69,
291027,01002,350750.68,1414.27,
291027,32024,235755.15,12718.43,
291028,32024,235755.15,8272.19,
291030,32024,235755.15,5427.13,
291031,32024,235755.15,5760.24,
291032,32024,235755.15,5972.48,
291033,32024,235755.15,11118.46,
291034,32024,235755.15,5450.82,
291034,32038,751264.37,866.60,
291035,32024,235755.15,156.45,
291035,32038,751264.37,6371.44,
291036,32038,751264.37,8647.82,
291037,32038,751264.37,2968.89,
291041,32038,751264.37,2393.83,
291042,32038,751264.37,6225.91,
291052,24021,715998.78,7130.94,
291053,24021,715998.78,4938.72,
291054,24021,715998.78,7158.32,
291055,24021,715998.78,8350.45,
291056,24021,715998.78,8655.10,
291057,24021,715998.78,13133.08,
291058,24021,715998.78,20021.41,
291059,24021,715998.78,15544.87,
291060,24021,715998.78,19814.52,
291061,24021,715998.78,16753.26,
291061,24028,774752.29,312.14,
291062,24028,774752.29,5162.71,
291063,24028,774752.29,13705.39,
291064,24028,774752.29,6979.50,
291064,24035,344218.19,165.33,
291065,24035,344218.19,15961.29,
291066,24035,344218.19,18749.49,
291067,24035,344218.19,26005.28,
291068,24035,344218.19,242.40,
291070,24004,242031.65,7.64,
291070,24009,85110.63,225.23,
291073,24004,242031.65,8650.20,
291074,24004,242031.65,3818.85,
291076,24030,173168.16,3761.45,
291077,24030,173168.16,9749.26,
291078,24030,173168.16,567.72,
291086,24052,200271.63,408.82,
291087,24052,200271.63,5896.11,
291088,24052,200271.63,6832.39,
291089,24052,200271.63,250.18,
291090,24052,200271.63,2095.16,
291091,24024,555440.13,8707.80,
291107,24010,505445.00,7654.68,
291122,24013,763392.41,9241.40,
291125,24013,763392.41,2535.27,
291126,24013,763392.41,3992.77,
291130,24013,763392.41,7617.03,
291135,24040,450054.54,6155.31,
291144,24016,129467.79,7525.86,
291145,24016,129467.79,423.11,
291149,24016,129467.79,42.22,
291150,24016,129467.79,9920.83,
291151,24016,129467.79,6489.25,
291152,24016,129467.79,6357.66,
291153,24016,129467.79,852.20,
291153,30123,400534.54,5498.52,
291154,30123,400534.54,655.57,
291158,30123,400534.54,6022.67,
291163,30123,400534.54,4315.60,
291164,30123,400534.54,7303.54,
291166,30123,400534.54,916.91,
291166,30133,94460.39,11131.15,
291167,30133,94460.39,2012.73,
291168,30133,94460.39,1385.81,
291170,30133,94460.39,19471.42,
291171,30133,94460.39,7853.32,
292029,14061,156205.91,8318.82,
292030,14061,156205.91,457.78,
292043,32031,287692.31,4246.83,
292044,32031,287692.31,2557.45,
