GRIDCODE,CVENTMUN,Promedio de LONG_VIALIDAD TOTAL x MUNICIPIO x NO. DE CARRILES (m),Suma de VIALIDADxCELLxCarril
288998,24040,827245.4608,4076.74232
288999,24040,827245.4608,5291.85173
289000,24040,827245.4608,6760.054349
289001,24040,827245.4608,2022.846446
289002,24040,827245.4608,7894.56401
289003,24040,827245.4608,7247.835214
289004,24040,827245.4608,6883.548733
289005,24040,827245.4608,8404.722296
289006,24040,827245.4608,4062.70814
289007,24040,827245.4608,8129.1464
289008,24040,827245.4608,4181.158888
289009,24040,827245.4608,6464.153115
289010,24016,413928.9293,1651.595383
289010,24040,827245.4608,3361.026877
289011,24016,413928.9293,4839.211841
289011,24040,827245.4608,1240.720412
289012,24016,413928.9293,7507.197597
289013,24016,413928.9293,3126.628364
289014,24016,413928.9293,7763.75885
289015,24016,413928.9293,95.88275769
289015,30123,1953715.203,159.9799111
289016,30123,1953715.203,3523.898483
289017,30123,1953715.203,1151.08866
289018,30123,1953715.203,2947.831021
289019,30123,1953715.203,8554.404284
289020,30123,1953715.203,8065.583642
289021,30123,1953715.203,8876.50919
289022,30123,1953715.203,3012.112919
289023,30123,1953715.203,7493.794178
289024,30123,1953715.203,3290.609392
289025,30123,1953715.203,1365.804036
289026,30123,1953715.203,4128.362234
289026,30133,178176.4985,4925.867574
289027,30123,1953715.203,7397.856516
289027,30133,178176.4985,4979.723523
289028,30123,1953715.203,2011.811319
289028,30133,178176.4985,3150.136017
289029,30133,178176.4985,5523.943754
289030,30133,178176.4985,3693.982843
289033,30152,470312.705,605.3175417
289034,30133,178176.4985,301.907247
289034,30152,470312.705,9298.036642
289035,30152,470312.705,8429.599294
289036,30152,470312.705,2231.029263
289886,14061,1691171.711,2974.086726
289887,14061,1691171.711,9562.190648
289888,14061,1691171.711,14808.8852
289889,14061,1691171.711,17736.81897
289890,14061,1691171.711,6120.451406
289891,14061,1691171.711,4186.979099
289892,14061,1691171.711,7768.964895
289893,14061,1691171.711,5582.955715
289894,14061,1691171.711,3140.453163
289895,14061,1691171.711,1259.908036
289895,32049,1696240.391,2892.342172
289896,14061,1691171.711,98.61288158
289896,32049,1696240.391,4121.618356
289899,14061,1691171.711,5704.23922
289901,14061,1691171.711,3056.666738
289902,14061,1691171.711,5590.003222
289903,14061,1691171.711,2938.194687
289903,32031,759025.4936,2395.331992
289904,32031,759025.4936,82.49359406
289905,32031,759025.4936,382.7182616
289906,32031,759025.4936,2833.117115
289907,32031,759025.4936,5555.83523
289908,32031,759025.4936,2394.876851
